STATION NAME                     ,WMO_ID, CN ,TYPE,LAT,LON,ELVATION
OLIVE BRANCH OLIVE BRANCH AIRPOR ,, US ,SA,34.97889 ,-89.78694 ,122 
                     OLNEY-NOBLE ,, US ,SA,38.72000 ,-88.18000 ,
                          OELWEN ,, US ,SA,42.68333 ,-91.96667 ,328 
           OMAHA EPPLEY AIRFIELD ,72550, US ,SA,41.31028 ,-95.89917 ,299 
    ORANGE ORANGE COUNTY AIRPORT ,, US ,SA,38.24722 ,-78.04556 ,142 
               OMAK OMAK AIRPORT ,, US ,SA,48.46139 ,-119.51917 ,396 
          ORMOND BEACH / MUNI AP ,, US ,SA,29.30114 ,-81.11381 ,9 
WINONA MUNICIPAL AUTOMATIC WEATH ,, US ,SA,44.08333 ,-91.70000 ,200 
            ONEILL / BAKER FIELD ,, US ,SA,42.46667 ,-98.68333 ,619 
               SOCORRO MUNICIPAL ,72362, US ,SA,34.01667 ,-106.90000 ,1478 
ONTARIO ONTARIO MUNICIPAL AIRPOR ,, US ,SA,44.01944 ,-117.00972 ,667 
                         KONOCTI ,, US ,RW,38.91400 ,-122.71500 ,640 
               NEWPORT MUNICIPAL ,, US ,SA,44.58333 ,-124.05000 ,48 
ONTARIO ONTARIO INTERNATIONAL AI ,, US ,SA,34.05333 ,-117.57583 ,287 
               CURRITUCK / CO AP ,, US ,SA,36.39893 ,-76.01630 ,5 
DETROIT/GROSSE ILE GROSSE ILE AI ,, US ,SA,42.09861 ,-83.16111 ,180 
KOOH ROCK LIGHT BUOY Y51 OFF ROC ,, CN ,CC,48.90400 ,-125.06700 ,
          KOOTENAY LANDING OUTER ,, CN ,CC,49.26600 ,-116.69000 ,
         MIAMI OPA LOCKA AIRPORT ,, US ,SA,25.91000 ,-80.28306 ,3 
                       THOMASTON ,, US ,SA,32.96000 ,-84.26000 ,243 
                       OAK RIDGE ,, US ,SA,36.02278 ,-84.23333 ,279 
            N KINGSTON / QUONSET ,, US ,SA,41.60000 ,-71.41667 ,6 
                             ORR ,, US ,SA,48.01667 ,-92.86667 ,397 
                     ORANGE CITY ,, US ,SA,42.98333 ,-96.06667 ,431 
CHICAGO CHICAGO-OHARE INTERNATIO ,72530, US ,SA,41.98333 ,-87.91667 ,203 
 ORANGE ORANGE MUNICIPAL AIRPORT ,, US ,SA,42.57167 ,-72.27750 ,169 
NORFOLK NORFOLK INTERNATIONAL AI ,72308, US ,SA,36.90361 ,-76.19194 ,8 
WORCESTER WORCESTER REGIONAL AIR ,, US ,SA,42.27056 ,-71.87306 ,307 
ORLANDO ORLANDO EXECUTIVE AIRPOR ,, US ,SA,28.54639 ,-81.33583 ,34 
                 EASTSOUND/ORCAS ,, US ,SA,48.71000 ,-122.91000 ,8 
    MOUNT PLEASANT / REGIONAL AP ,, US ,SA,33.09553 ,-94.96152 ,111 
        WURTSMITH AIR FORCE BASE ,, US ,SA,44.45000 ,-83.40000 ,193 
OSHKOSH WITTMAN REGIONAL AIRPORT ,, US ,SA,43.96667 ,-88.55806 ,246 
                  KOSKIMO ISLAND ,, CN ,CC,50.47700 ,-127.85500 ,
                          KOSMOS ,, US ,RW,46.52800 ,-122.20100 ,739 
COLUMBUS OHIO STATE UNIVERSITY A ,, US ,SA,40.07806 ,-83.07806 ,275 
WORTHINGTON AUTOMATIC WEATHER OB ,, US ,SA,43.65000 ,-95.58333 ,480 
NORTH BEND AUTOMATIC WEATHER OBS ,, US ,SA,43.41667 ,-124.25000 ,4 
OTTUMWA OTTUMWA INDUSTRIAL AIRPO ,, US ,SA,41.10083 ,-92.44444 ,257 
                      SPOKANE WA ,72786, US ,SA,47.68333 ,-117.63333 ,728 
                      SPOKANE WA ,72786, US ,UA,47.68333 ,-117.63333 ,728 
         NORMAN / MAX WESTHEIMER ,72357, US ,SA,35.21667 ,-97.45000 ,357 
         NORMAN / MAX WESTHEIMER ,72357, US ,UA,35.21667 ,-97.45000 ,357 
OROVILLE OROVILLE MUNICIPAL AIRP ,, US ,SA,39.49472 ,-121.62028 ,57 
              OLIVIA REGIONAL AP ,, US ,SA,44.77861 ,-95.03278 ,328 
                        OMAHA NE ,72553, US ,SA,41.36667 ,-96.01667 ,399 
                        OMAHA NE ,72553, US ,UA,41.36667 ,-96.01667 ,406 
       BOSCOBEL BOSCOBEL AIRPORT ,, US ,SA,43.15611 ,-90.67750 ,205 
OWATONNA AUTOMATIC WEATHER OBSER ,, US ,SA,44.11667 ,-93.25000 ,350 
             OWENSBORO / DAVIESS ,, US ,SA,37.73333 ,-87.16667 ,124 
NORWOOD NORWOOD MEMORIAL AIRPORT ,, US ,SA,42.19083 ,-71.17389 ,15 
                          OWYHEE ,, US ,SA,41.95000 ,-116.10000 ,1645 
OCEAN CITY OCEAN CITY MUNICIPAL  ,, US ,SA,38.31056 ,-75.12389 ,4 
OXFORD AUTOMATIC WEATHER OBSERVI ,, US ,SA,41.48333 ,-73.13333 ,222 
           OXNARD OXNARD AIRPORT ,, US ,SA,34.20056 ,-119.20306 ,13 
                       KNOXVILLE ,, US ,SA,41.30000 ,-93.11667 ,283 
   CAIRNS ARMY AIR FIELD / OZARK ,, US ,SA,31.28333 ,-85.71667 ,91 
HOWELL LIVINGSTON COUNTY AIRPORT ,, US ,SA,42.62944 ,-83.98417 ,293 
                TENNECO PLATFORM ,, US ,SA,28.00000 ,-93.00000 ,15 
                   AJO MUNICIPAL ,, US ,SA,32.45000 ,-112.86667 ,444 
                 POPLAR BLUFF MO ,72330, US ,SA,36.76667 ,-90.46667 ,146 
                          PHILIP ,, US ,SA,44.07000 ,-101.65000 ,683 
                   BULLHEAD CITY ,, US ,SA,35.16667 ,-114.56667 ,167 
                       SANDERSON ,74730, US ,SA,30.16667 ,-102.41667 ,865 
                     DEVILS LAKE ,72758, US ,SA,48.10000 ,-98.86667 ,439 
                   MAIN PASS B68 ,, US ,SA,29.66667 ,-88.88333 ,1 
                  VERMILION B131 ,, US ,SA,29.06667 ,-92.18333 ,1 
                        ROSEGLEN ,72765, US ,SA,47.75000 ,-101.83333 ,624 
                  VERMILION B215 ,, US ,SA,28.70000 ,-92.31667 ,1 
                  GRAND ISLE B95 ,, US ,SA,28.50000 ,-90.11667 ,1 
   MEDICINE LODGE MEDICINE LODGE ,72452, US ,SA,37.28389 ,-98.55278 ,469 
                    WEST CAMERON ,, US ,SA,28.33333 ,-93.01667 ,24 
                     WINDOW ROCK ,, US ,SA,35.65000 ,-109.07000 ,2054 
                        SPICKARD ,72540, US ,SA,40.25000 ,-93.71667 ,271 
                        CALIENTE ,72487, US ,SA,37.61222 ,-114.52639 ,1333 
                     PEQUOT LAKE ,72750, US ,SA,46.60000 ,-94.31667 ,390 
                  VENTURA HARBOR ,, US ,SA,34.25000 ,-119.25000 ,7 
            SANTA BARBARA HARBOR ,, US ,SA,34.40000 ,-119.70000 ,8 
                 CHETCO RIVER OR ,, US ,CU,42.04700 ,-124.26700 ,
CHETCO RIVER COAST GUARD STATION ,, US ,SA,42.04700 ,-124.26700 ,
              MUNISING LAKESHORE ,, US ,SA,46.40000 ,-86.65000 ,187 
                       PORT HOPE ,, US ,SA,44.02194 ,-82.79306 ,179 
                   COPPER HARBOR ,, US ,SA,47.46694 ,-87.87500 ,190 
                YELLOWSTONE LAKE ,, US ,SA,44.54444 ,-110.42111 ,2388 
                    GRAND MARAIS ,, US ,SA,47.74722 ,-90.34444 ,185 
                       LUKEVILLE ,, US ,SA,31.88333 ,-112.81667 ,511 
LIDGERWOOD REMOTE AUTOMATIC METE ,, US ,SA,46.10000 ,-97.15000 ,351 
                          EUREKA ,, US ,SA,39.60139 ,-116.00556 ,1812 
                          LOWELL ,, US ,SA,46.14417 ,-115.59639 ,480 
                   CLINES CORNER ,, US ,SA,34.93000 ,-105.58000 ,2109 
                      MANISTIQUE ,, US ,SA,45.95000 ,-86.22972 ,178 
ROME AUTOMATIC METEOROLOGICAL OB ,, US ,SA,42.90000 ,-117.65000 ,1162 
                      SALT POINT ,, US ,SA,29.56222 ,-91.52556 ,0 
EVERETT SNOHOMISH COUNTY AIRPORT ,, US ,SA,47.92306 ,-122.28250 ,184 
PADUCAH BARKLEY REGIONAL AIRPORT ,72435, US ,SA,37.05639 ,-88.77389 ,125 
PADUCAH BARKLEY REGIONAL AIRPORT ,72435, US ,UA,37.06861 ,-88.77222 ,118 
          TYNDALL AIR FORCE BASE ,74775, US ,SA,30.06667 ,-85.58333 ,5 
               PALO ALTO AIRPORT ,, US ,SA,37.46667 ,-122.11667 ,2 
 PALMER PALMER MUNICIPAL AIRPORT ,, US ,SA,61.59611 ,-149.09167 ,70 
                 PATHFINDER HILL ,, US ,SA,42.56000 ,-106.85000 ,1926 
         PINE BLUFF GRIDER FIELD ,, US ,SA,34.18000 ,-91.93417 ,62 
      PLATTSBURGH AIR FORCE BASE ,, US ,SA,44.65000 ,-73.46667 ,72 
         PHILLIPS / PRICE COUNTY ,, US ,SA,45.70000 ,-90.40000 ,449 
WEST PALM BEACH PALM BEACH INTER ,72203, US ,SA,26.68472 ,-80.09944 ,5 
WEST PALM BEACH PALM BEACH INTER ,72203, US ,UA,26.67778 ,-80.10833 ,6 
ST GEORGE ISLAND NEW ST GEORGE A ,, US ,SA,56.57694 ,-169.66306 ,27 
               PITTSBURGH NEXRAD ,, US ,SA,40.53333 ,-80.21667 ,386 
          PICAYUNE / PEARL RIVER ,, US ,SA,30.51667 ,-89.70000 ,19 
               WAUPACA / MUNI AP ,, US ,SA,44.33326 ,-89.10977 ,252 
PRAIRIE DU CHIEN PRAIRIE DU CHIE ,, US ,SA,43.02194 ,-91.12472 ,201 
ATLANTA DE KALB-PEACHTREE AIRPOR ,, US ,SA,33.87833 ,-84.29806 ,305 
PENDLETON EASTERN OREGON REGIONA ,72688, US ,SA,45.69833 ,-118.83417 ,455 
PORTLAND PORTLAND INTERNATIONAL  ,72698, US ,SA,45.59083 ,-122.60028 ,8 
                   PELLA MUNI AP ,, US ,SA,41.40007 ,92.94588 ,270 
         PETERSON AIR FORCE BASE ,, US ,SA,38.81667 ,-104.73333 ,1876 
       PENN YAN PENN YAN AIRPORT ,, US ,SA,42.64306 ,-77.04944 ,275 
                 PECOS / MUNI AP ,, US ,SA,31.38239 ,-103.51072 ,797 
              PACIFIC CITY STATE ,, US ,SA,45.20000 ,-123.96667 ,2 
PANAMA CITY PANAMA CITY-BAY COUN ,, US ,SA,30.20750 ,-85.68500 ,6 
     PAGE PAGE MUNICIPAL AIRPORT ,72371, US ,SA,36.92056 ,-111.44806 ,1314 
PUNTA GORDA CHARLOTTE COUNTY AIR ,, US ,SA,26.91778 ,-81.99361 ,7 
            PASCAGOULA / JACKSON ,, US ,SA,30.40000 ,-88.48333 ,3 
                 PAGE MTN (AWOS) ,72341, US ,SA,34.68000 ,-94.62000 ,883 
         PITT-GREENVILLE AIRPORT ,, US ,SA,35.63333 ,-77.40000 ,8 
NEW PHILADELPHIA HARRY CLEVER FI ,, US ,SA,40.47194 ,-81.42361 ,272 
NEWPORT NEWS NEWPORT NEWS / WILL ,, US ,SA,37.13222 ,-76.49444 ,13 
PHILADELPHIA PHILADELPHIA INTERN ,72408, US ,SA,39.86833 ,-75.23111 ,6 
   ST CLAIR COUNTY INTERNATIONAL ,, US ,SA,42.91667 ,-82.53333 ,198 
           PHILIP PHILIP AIRPORT ,, US ,SA,44.05111 ,-101.60111 ,673 
                           PARIS ,, US ,SA,36.34000 ,-88.38000 ,177 
PHOENIX PHOENIX SKY HARBOR INTER ,72278, US ,SA,33.43417 ,-112.05111 ,345 
PHOENIX PHOENIX SKY HARBOR INTER ,72278, US ,UA,33.43528 ,-112.00917 ,336 
PEORIA GREATER PEORIA REGIONAL A ,72532, US ,SA,40.66750 ,-89.68389 ,201 
PEORIA GREATER PEORIA REGIONAL A ,72532, US ,UA,40.66639 ,-89.68750 ,205 
PINE BELT REGIONAL AUTOMATIC WEA ,, US ,SA,31.46667 ,-89.33333 ,91 
ST PETERSBURG / CLEARWATER ST PE ,, US ,SA,27.91222 ,-82.68556 ,3 
POCATELLO POCATELLO REGIONAL AIR ,72578, US ,SA,42.92028 ,-112.57111 ,1356 
PORT ISABEL PORT ISABEL-CAMERON  ,, US ,SA,26.15917 ,-97.33750 ,5 
                     PINEY CREEK ,, US ,SA,44.53000 ,-106.82000 ,1402 
  PIERRE PIERRE REGIONAL AIRPORT ,, US ,SA,44.38139 ,-100.28556 ,531 
PITTSBURGH PITTSBURGH INTERNATIO ,72520, US ,SA,40.50389 ,-80.26639 ,366 
PITTSBURGH PITTSBURGH INTERNATIO ,72520, US ,UA,40.49472 ,-80.19028 ,357 
                          PAYSON ,, US ,SA,34.26667 ,-111.35000 ,1571 
POINT JUDITH COAST GUARD STATION ,, US ,SA,41.35000 ,-71.46667 ,2 
            PARKERSBURG / WILSON ,, US ,SA,39.35000 ,-81.43333 ,262 
PARK RAPIDS PARK RAPIDS MUNICIPA ,, US ,SA,46.90056 ,-95.06778 ,439 
                      PARK FALLS ,72741, US ,SA,45.93333 ,-90.45000 ,462 
     PORT LAVACA / CALHOUN CO AP ,, US ,SA,28.65403 ,-96.68132 ,9 
PLATTSBURGH CLINTON COUNTY AIRPO ,, US ,SA,44.68222 ,-73.52778 ,113 
PELLSTON PELLSTON REGIONAL AIRPO ,, US ,SA,45.56444 ,-84.79278 ,219 
PALMDALE PALMDALE PRODUCTION FLI ,72382, US ,SA,34.62972 ,-118.08139 ,775 
POMPANO BEACH POMPANO BEACH AIRP ,, US ,SA,26.24556 ,-80.11139 ,6 
  PINEDALE / RALPH WENZ FIELD AP ,, US ,SA,42.79547 ,-109.80708 ,2160 
PONCA CITY PONCA CITY MUNICIPAL  ,, US ,SA,36.73667 ,-97.10194 ,307 
PHILADELPHIA NORTHEAST PHILADELP ,, US ,SA,40.07889 ,-75.01361 ,36 
                       PRINCETON ,, US ,SA,45.55000 ,-93.60000 ,298 
PENSACOLA PENSACOLA REGIONAL AIR ,, US ,SA,30.47806 ,-87.18694 ,36 
                 PONTIAC MUNI AP ,, US ,SA,40.92361 ,-88.62528 ,201 
             POPE AIR FORCE BASE ,72303, US ,SA,35.16667 ,-79.03333 ,61 
             LA VERNE / BRACKETT ,, US ,SA,34.10000 ,-117.78333 ,308 
                       FORT POLK ,72239, US ,SA,31.03333 ,-93.03333 ,100 
                       FORT POLK ,72239, US ,UA,31.03333 ,-93.03333 ,110 
POPLAR BLUFF POPLAR BLUFF MUNICI ,, US ,SA,36.77056 ,-90.32222 ,100 
POUGHKEEPSIE DUTCHESS COUNTY AIR ,, US ,SA,41.62556 ,-73.88194 ,50 
        PAMPA / PERRY LEFORS FLD ,, US ,SA,35.61278 ,-100.99611 ,989 
        PARSONS TRI-CITY AIRPORT ,, US ,SA,37.32778 ,-95.50417 ,274 
                      PITTSFIELD ,, US ,SA,39.64000 ,-90.78000 ,
                    PRESQUE ISLE ,72713, US ,SA,46.68333 ,-68.05000 ,163 
PASCAGOULA LOTT INTERNATIONAL AI ,, US ,SA,30.46361 ,-88.53194 ,5 
PIPESTONE AUTOMATIC WEATHER OBSE ,, US ,SA,43.98333 ,-96.31667 ,529 
                    PORTLAND WFO ,, US ,CU,45.56111 ,-122.53806 ,
PASO ROBLES PASO ROBLES MUNICIPA ,, US ,SA,35.66972 ,-120.62833 ,254 
             PRESCOTT LOVE FIELD ,, US ,SA,34.64917 ,-112.42222 ,1537 
                 PARIS-EDGAR COU ,, US ,SA,39.70000 ,-87.67000 ,
               PARIS / COX FIELD ,, US ,SA,33.63333 ,-95.45000 ,167 
        PASCO TRI-CITIES AIRPORT ,, US ,SA,46.26972 ,-119.11667 ,124 
PITTSFIELD PITTSFIELD MUNICIPAL  ,, US ,SA,42.42722 ,-73.28917 ,364 
       DUBLIN / NEW RIVER VALLEY ,, US ,SA,37.13333 ,-80.68333 ,642 
PEASE AIR FORCE BASE / PORTSMOUT ,, US ,SA,43.08333 ,-70.81667 ,31 
             PALESTINE / MUNI AP ,, US ,SA,31.77969 ,-95.70631 ,129 
PALM SPRINGS PALM SPRINGS REGION ,, US ,SA,33.82222 ,-116.50361 ,140 
              PALACIOS MUNICIPAL ,, US ,SA,28.73333 ,-96.25000 ,5 
