STATION NAME                     ,WMO_ID, CN ,TYPE,LAT,LON,ELVATION
                        GRAHUKEN ,01002, NORWAY ,SA,79.78333 ,14.46667 ,
                        HORNSUND ,01003, NORWAY ,SA,77.00000 ,15.50000 ,10 
                         EDGEOYA ,01006, NORWAY ,SA,78.23333 ,22.78333 ,
                      NY ALESUND ,01007, NORWAY ,SA,78.91667 ,11.93333 ,
                       PHIPPSOYA ,01009, NORWAY ,SA,80.68333 ,20.86667 ,4 
                         KVITOYA ,01011, NORWAY ,SA,80.10000 ,31.40000 ,16 
                   HEKKINGEN FYR ,01015, NORWAY ,SA,69.60000 ,17.83333 ,14 
             SENJA-GRASMYRSKOGEN ,01016, NORWAY ,SA,69.28333 ,17.76667 ,50 
                          TROMSO ,01026, NORWAY ,SA,69.65000 ,18.93333 ,103 
                     TORSVAG FYR ,01033, NORWAY ,SA,70.25000 ,19.50000 ,21 
                FUGLOYKALVEN FYR ,01034, NORWAY ,SA,70.31667 ,20.15000 ,37 
                          OTEREN ,01035, NORWAY ,SA,69.25000 ,19.88333 ,12 
                  NODREISA-OYENG ,01041, NORWAY ,SA,69.73333 ,21.01667 ,5 
                           LOPPA ,01043, NORWAY ,SA,70.33333 ,21.46667 ,10 
         NORDSTRAUM I KVAENANGEN ,01045, NORWAY ,SA,69.83333 ,21.88333 ,6 
                     SUOLOVUOPMI ,01051, NORWAY ,SA,69.58333 ,23.53333 ,374 
                   FRUHOLMEN FYR ,01055, NORWAY ,SA,71.10000 ,24.00000 ,13 
                  CUOVDDATMOHKKI ,01057, NORWAY ,SA,69.36667 ,24.43333 ,286 
                        KARASJOK ,01065, NORWAY ,SA,69.46667 ,25.50000 ,129 
                      HELNES FYR ,01066, NORWAY ,SA,71.06667 ,26.23333 ,33 
                    RUSTEFJELBMA ,01075, NORWAY ,SA,70.40000 ,28.20000 ,9 
                     SLETNES FYR ,01078, NORWAY ,SA,71.08333 ,28.23333 ,8 
                     MAKKAUR FYR ,01092, NORWAY ,SA,70.70000 ,30.08333 ,9 
                           VARDO ,01098, NORWAY ,SA,70.36667 ,31.10000 ,14 
                     SKLINNA FYR ,01102, NORWAY ,SA,65.20000 ,11.00000 ,23 
                            LEKA ,01103, NORWAY ,SA,65.10000 ,11.70000 ,47 
                         ROST II ,01106, NORWAY ,SA,67.50000 ,12.08333 ,10 
                    VEGA-VALLSJO ,01108, NORWAY ,SA,65.70000 ,11.85000 ,2 
                 YTTERHOLMEN FYR ,01110, NORWAY ,SA,66.00000 ,11.68333 ,33 
                           MYKEN ,01115, NORWAY ,SA,66.75000 ,12.48333 ,17 
                    NORD-SOLVAER ,01121, NORWAY ,SA,66.40000 ,12.61667 ,10 
                    MAJAVATN III ,01134, NORWAY ,SA,65.18333 ,13.41667 ,339 
                           STOTT ,01137, NORWAY ,SA,66.93333 ,13.45000 ,12 
                  TENNHOLMEN FYR ,01138, NORWAY ,SA,67.30000 ,13.50000 ,14 
                 SUSENDAL-BJORMO ,01147, NORWAY ,SA,65.51667 ,14.01667 ,265 
                    RANA-BASMOEN ,01149, NORWAY ,SA,66.33333 ,14.10000 ,40 
                      LITLOY FYR ,01154, NORWAY ,SA,68.58333 ,14.30000 ,30 
              BO I VESTERALEN II ,01155, NORWAY ,SA,68.63333 ,14.46667 ,12 
                      SKROVA FYR ,01160, NORWAY ,SA,68.15000 ,14.65000 ,11 
                        SORTLAND ,01167, NORWAY ,SA,68.70000 ,15.41667 ,3 
                         SALTDAL ,01169, NORWAY ,SA,66.85000 ,15.31667 ,81 
                FINNOY I HAMAROY ,01172, NORWAY ,SA,68.00000 ,15.61667 ,53 
                NARVIK / FRAMNES ,01193, NORWAY ,SA,68.43333 ,17.40000 ,3 
                       TENNEVOLL ,01196, NORWAY ,SA,68.75000 ,17.81667 ,21 
                      SIHCAJAVRI ,01199, NORWAY ,SA,68.75000 ,23.53333 ,382 
                        KRAKENES ,01203, NORWAY ,SA,62.03333 ,4.98333 ,41 
                      SVINOY FYR ,01205, NORWAY ,SA,62.33333 ,5.26667 ,38 
                          ONA II ,01212, NORWAY ,SA,62.86667 ,6.53333 ,13 
                         TAFJORD ,01218, NORWAY ,SA,62.23333 ,7.41667 ,15 
                     SKALMEN FYR ,01224, NORWAY ,SA,63.46667 ,7.75000 ,13 
                  TINGVOLL-HANEM ,01227, NORWAY ,SA,62.83333 ,8.30000 ,69 
                            SULA ,01228, NORWAY ,SA,63.85000 ,8.46667 ,4 
                       LESJASKOG ,01231, NORWAY ,SA,62.23333 ,8.36667 ,621 
                     VINJEORA II ,01232, NORWAY ,SA,63.20000 ,9.00000 ,47 
                      FOKSTUA II ,01237, NORWAY ,SA,62.15000 ,9.28333 ,
                      FOKSTUA II ,01238, NORWAY ,SA,62.11667 ,9.28333 ,972 
                      HALTEN FYR ,01240, NORWAY ,SA,64.16667 ,9.41667 ,16 
                   OPPDAL-BJORKE ,01245, NORWAY ,SA,62.60000 ,9.68333 ,630 
                 BERKAK-LYNGHOLT ,01252, NORWAY ,SA,62.81667 ,10.01667 ,475 
                  BUHOLMRASA FYR ,01259, NORWAY ,SA,64.40000 ,10.45000 ,21 
                    NORDOYAN FYR ,01262, NORWAY ,SA,64.80000 ,10.55000 ,33 
                       TYNSET II ,01265, NORWAY ,SA,62.26667 ,10.76667 ,
                    SELBU-STUBBE ,01274, NORWAY ,SA,63.20000 ,11.11667 ,242 
                       STEINKJER ,01277, NORWAY ,SA,64.01667 ,11.45000 ,80 
                    VERDAL-REPPE ,01278, NORWAY ,SA,63.78333 ,11.66667 ,81 
                      NAMDALSEID ,01280, NORWAY ,SA,64.25000 ,11.20000 ,86 
                           ROROS ,01288, NORWAY ,SA,62.56667 ,11.38333 ,628 
                   MARAKER-UTSYN ,01292, NORWAY ,SA,63.41667 ,11.75000 ,239 
                   NORDLI-HOLAND ,01298, NORWAY ,SA,64.45000 ,13.71667 ,433 
                  YTTEROYANE FYR ,01304, NORWAY ,SA,61.56667 ,4.68333 ,26 
                    HELLISOY FYR ,01306, NORWAY ,SA,60.75000 ,4.71667 ,23 
                BERGEN / FLORIDA ,01317, NORWAY ,SA,60.38333 ,5.33333 ,12 
                           TAKLE ,01319, NORWAY ,SA,61.03333 ,5.38333 ,38 
                           STRYN ,01321, NORWAY ,SA,61.90000 ,6.55000 ,
                     FORDE-TEFRE ,01322, NORWAY ,SA,61.46667 ,5.91667 ,64 
         FORDE / BRINGELANDSASEN ,01323, NORWAY ,SA,61.40000 ,5.76667 ,31 
                      MODALEN II ,01325, NORWAY ,SA,60.83333 ,5.95000 ,114 
                      KVAMSKOGEN ,01328, NORWAY ,SA,60.40000 ,5.91667 ,408 
                       OMASTRAND ,01330, NORWAY ,SA,60.21667 ,5.98333 ,1 
                        VANGSNES ,01338, NORWAY ,SA,61.16667 ,6.65000 ,
                     EIDFJORD-BU ,01341, NORWAY ,SA,60.46667 ,6.86667 ,117 
                      REIMEGREND ,01344, NORWAY ,SA,60.68333 ,6.75000 ,590 
                       FINSEVATN ,01350, NORWAY ,SA,60.60000 ,7.53333 ,
                  LAERDAL-TONJUM ,01355, NORWAY ,SA,61.06667 ,7.51667 ,24 
                          FORTUN ,01357, NORWAY ,SA,61.50000 ,7.70000 ,35 
                           BRATA ,01360, NORWAY ,SA,61.90000 ,7.86667 ,712 
               GEILO-GEILOSTOLEN ,01364, NORWAY ,SA,60.51667 ,8.21667 ,810 
                      SOGNEFJELL ,01366, NORWAY ,SA,61.56667 ,8.00000 ,1415 
                        FAGERNES ,01367, NORWAY ,SA,60.98333 ,9.23333 ,365 
                 SKABU-STORSLAEN ,01370, NORWAY ,SA,61.51667 ,9.38333 ,865 
                NESBYEN-SKOGLUND ,01372, NORWAY ,SA,60.56667 ,9.13333 ,167 
                   VEST-TORPA II ,01374, NORWAY ,SA,60.93333 ,10.03333 ,542 
                       KVITFJELL ,01375, NORWAY ,SA,61.48333 ,9.96667 ,1028 
        LILLEHAMMER-SAETHERENGEN ,01378, NORWAY ,SA,61.10000 ,10.46667 ,239 
                      SOR-NESSET ,01379, NORWAY ,SA,61.88333 ,10.15000 ,739 
                          VENABU ,01380, NORWAY ,SA,61.65000 ,10.11667 ,940 
              EVENSTAD-OVERENGET ,01383, NORWAY ,SA,61.40000 ,11.15000 ,255 
                  HAUGEDALSHOGDA ,01389, NORWAY ,SA,61.16667 ,11.45000 ,240 
                           FLISA ,01391, NORWAY ,SA,60.61667 ,12.01667 ,184 
                         DREVSJO ,01393, NORWAY ,SA,61.88333 ,12.05000 ,672 
               TRYSIL VEGSTASJON ,01397, NORWAY ,SA,61.30000 ,12.26667 ,
                         EKOFISK ,01400, NORWAY ,SA,56.53333 ,3.21667 ,46 
                         EKOFISK ,01400, NORWAY ,UA,56.53333 ,3.21667 ,46 
                      UTSIRA FYR ,01403, NORWAY ,SA,59.30000 ,4.88333 ,55 
                   SLATTEROY FYR ,01406, NORWAY ,SA,59.91667 ,5.06667 ,15 
                        OBRESTAD ,01412, NORWAY ,SA,58.65000 ,5.56667 ,26 
                      NEDRE VATS ,01417, NORWAY ,SA,59.48333 ,5.75000 ,64 
                 FISTER-TONNEVIK ,01423, NORWAY ,SA,59.16667 ,6.05000 ,50 
                           SAUDA ,01424, NORWAY ,SA,59.65000 ,6.36667 ,5 
                  UALAND-BJULAND ,01425, NORWAY ,SA,58.55000 ,6.35000 ,196 
                       LISTA FYR ,01426, NORWAY ,SA,58.11667 ,6.56667 ,
                       LISTA FYR ,01427, NORWAY ,SA,58.11667 ,6.56667 ,14 
                  SIRDAL-TJORHOM ,01432, NORWAY ,SA,58.88333 ,6.85000 ,500 
                      MIDTLAEGER ,01433, NORWAY ,SA,59.83333 ,6.98333 ,1082 
                         VAAGSLI ,01434, NORWAY ,SA,59.76667 ,7.36667 ,
                   LINDESNES FYR ,01436, NORWAY ,SA,57.98333 ,7.05000 ,13 
                  KONSMO-HOYLAND ,01439, NORWAY ,SA,58.25000 ,7.31667 ,260 
                  HOVDEN-LUNDANE ,01441, NORWAY ,SA,59.58333 ,7.38333 ,
         BYGLANDSFJORD-SOLBAKKEN ,01442, NORWAY ,SA,58.66667 ,7.80000 ,212 
                 OYFJELL-TROVATN ,01446, NORWAY ,SA,59.56667 ,8.20000 ,715 
                       OKSOY FYR ,01448, NORWAY ,SA,58.06667 ,8.05000 ,9 
                    MOSSTRAND II ,01450, NORWAY ,SA,59.83333 ,8.18333 ,977 
           KRISTIANSAND / KJEVIK ,01453, NORWAY ,SA,58.21667 ,8.08333 ,
                       TVEITSUND ,01455, NORWAY ,SA,59.03333 ,8.51667 ,252 
                          NELAUG ,01459, NORWAY ,SA,58.65000 ,8.63333 ,142 
                    TORUNGEN FYR ,01465, NORWAY ,SA,58.40000 ,8.80000 ,12 
                      LYNGOR FYR ,01467, NORWAY ,SA,58.63333 ,9.15000 ,4 
               LYNGDAL I NUMEDAL ,01474, NORWAY ,SA,59.90000 ,9.53333 ,288 
                  JOMFRULAND FYR ,01476, NORWAY ,SA,58.85000 ,9.55000 ,12 
                    KONGSBERG IV ,01477, NORWAY ,SA,59.66667 ,9.65000 ,168 
                      FERDER FYR ,01482, NORWAY ,SA,59.03333 ,10.53333 ,6 
                 TRYVASSHOGDA II ,01490, NORWAY ,SA,59.98333 ,10.68333 ,528 
                   OSLO-BLINDERN ,01492, NORWAY ,SA,59.95000 ,10.71667 ,94 
                 STROMTANGEN FYR ,01495, NORWAY ,SA,59.15000 ,10.83333 ,
                    HOLAND-LOKEN ,01496, NORWAY ,SA,59.81667 ,11.48333 ,152 
                     PRESTEBAKKE ,01497, NORWAY ,SA,59.00000 ,11.53333 ,157 
                          MAGNOR ,01498, NORWAY ,SA,59.96667 ,12.21667 ,154 
                          RITSEM ,02012, SWEDEN ,SA,67.73333 ,17.46667 ,521 
                      KATTERJAKK ,02020, SWEDEN ,SA,68.41667 ,18.16667 ,515 
                          ABISKO ,02022, SWEDEN ,SA,68.35000 ,18.81667 ,394 
                 TORNETRASK LAKE ,02032, SWEDEN ,SA,68.21667 ,19.71667 ,393 
                     NIKKALUOKTA ,02036, SWEDEN ,SA,67.85000 ,19.03333 ,467 
                         ESRANGE ,02043, SWEDEN ,SA,67.93333 ,21.06667 ,330 
               KIRUNA GEOFYSISKA ,02045, SWEDEN ,SA,67.83333 ,20.43333 ,408 
                      KARESUANDO ,02080, SWEDEN ,SA,68.45000 ,22.50000 ,327 
                          PAJALA ,02096, SWEDEN ,SA,67.21667 ,23.40000 ,168 
            HEMAVAN-SKORVFJALLET ,02103, SWEDEN ,SA,65.78333 ,15.06667 ,800 
                         HEMAVAN ,02104, SWEDEN ,SA,65.81667 ,15.10000 ,473 
                     ABELVATTNET ,02105, SWEDEN ,SA,65.53333 ,14.98333 ,670 
                DIKANAS-SKANSNAS ,02118, SWEDEN ,SA,65.31667 ,16.03333 ,525 
                       KVIKKJOKK ,02120, SWEDEN ,SA,66.95000 ,17.75000 ,337 
                        ARJEPLOG ,02124, SWEDEN ,SA,66.03333 ,17.86667 ,430 
                        TJAKAAPE ,02141, SWEDEN ,SA,66.31667 ,19.21667 ,
                      PALJAMYREN ,02143, SWEDEN ,SA,66.21667 ,19.13333 ,
                       TELLEJAUR ,02145, SWEDEN ,SA,66.15000 ,19.63333 ,
                        FALLFORS ,02159, SWEDEN ,SA,65.11667 ,20.76667 ,195 
                      NATTAVAARA ,02160, SWEDEN ,SA,66.75000 ,21.05000 ,327 
                           HEDEN ,02169, SWEDEN ,SA,65.86667 ,21.45000 ,39 
                           BODEN ,02171, SWEDEN ,SA,65.81667 ,21.70000 ,16 
                        RONNSKAR ,02176, SWEDEN ,SA,65.03333 ,21.56667 ,3 
                        SVARTBYN ,02181, SWEDEN ,SA,66.26667 ,22.85000 ,61 
                       LULEA SOL ,02183, SWEDEN ,SA,65.55000 ,22.13333 ,17 
                  LULEA / KALLAX ,02185, SWEDEN ,SA,65.55000 ,22.13333 ,17 
                  LULEA / KALLAX ,02185, SWEDEN ,UA,65.55000 ,22.13333 ,34 
                       RODKALLEN ,02188, SWEDEN ,SA,65.31667 ,22.38333 ,1 
                       HAPARANDA ,02196, SWEDEN ,SA,65.83333 ,24.15000 ,5 
             STORLIEN-VISJOVALEN ,02206, SWEDEN ,SA,63.30000 ,12.11667 ,642 
                         SYLARNA ,02209, SWEDEN ,SA,63.05000 ,12.26667 ,1035 
                       ARESKUTAN ,02215, SWEDEN ,SA,63.43333 ,13.08333 ,1280 
                     KORSVATTNET ,02221, SWEDEN ,SA,63.83333 ,13.50000 ,717 
                         GADDEDE ,02222, SWEDEN ,SA,64.50000 ,14.13333 ,328 
                   OSTERSUND SOL ,02229, SWEDEN ,SA,63.20000 ,14.50000 ,376 
                         JUNSELE ,02244, SWEDEN ,SA,63.70000 ,16.86667 ,210 
                      VILHELMINA ,02245, SWEDEN ,SA,64.58333 ,16.85000 ,348 
                        KRANGEDE ,02247, SWEDEN ,SA,63.15000 ,16.16667 ,183 
                        KRANGEDE ,02248, SWEDEN ,SA,63.16667 ,16.16667 ,223 
                       SKAGSUDDE ,02269, SWEDEN ,SA,63.18333 ,19.01667 ,11 
                         VINDELN ,02274, SWEDEN ,SA,64.21667 ,19.71667 ,204 
               UMEA ROBACKSDALEN ,02283, SWEDEN ,SA,63.81667 ,20.25000 ,10 
                     JARNASKLUBB ,02284, SWEDEN ,SA,63.43333 ,19.68333 ,5 
                       HOLMOGADD ,02288, SWEDEN ,SA,63.60000 ,20.76667 ,6 
                      BJUROKLUBB ,02296, SWEDEN ,SA,64.48333 ,21.58333 ,36 
                            IDRE ,02307, SWEDEN ,SA,61.90000 ,12.85000 ,875 
                          TANNAS ,02308, SWEDEN ,SA,62.45000 ,12.66667 ,723 
                           SARNA ,02316, SWEDEN ,SA,61.70000 ,13.16667 ,437 
                      TANDADALEN ,02318, SWEDEN ,SA,61.16667 ,13.01667 ,830 
                         KLOVSJO ,02323, SWEDEN ,SA,62.53333 ,14.20000 ,550 
                            SVEG ,02324, SWEDEN ,SA,62.03333 ,14.36667 ,360 
                          EDSBYN ,02338, SWEDEN ,SA,61.36667 ,15.71667 ,184 
                        KUGGOREN ,02355, SWEDEN ,SA,61.70000 ,17.53333 ,8 
    SUNDVALL-HARNLSAND FLYGPLATS ,02365, SWEDEN ,SA,62.53333 ,17.45000 ,6 
    SUNDVALL-HARNLSAND FLYGPLATS ,02365, SWEDEN ,UA,62.53333 ,17.45000 ,6 
                          BRAMON ,02368, SWEDEN ,SA,62.21667 ,17.75000 ,20 
                           LUNGO ,02382, SWEDEN ,SA,62.61667 ,18.06667 ,10 
                         OSTMARK ,02400, SWEDEN ,SA,60.35000 ,12.65000 ,308 
                        BLOMSKOG ,02408, SWEDEN ,SA,59.21667 ,12.08333 ,170 
                          MALUNG ,02410, SWEDEN ,SA,60.68333 ,13.71667 ,308 
                    KARLSTAD SOL ,02415, SWEDEN ,SA,59.36667 ,13.46667 ,46 
                           NAVEN ,02417, SWEDEN ,SA,58.70000 ,13.11667 ,53 
                      STALLDALEN ,02424, SWEDEN ,SA,59.95000 ,14.95000 ,210 
                          OREBRO ,02432, SWEDEN ,SA,59.23333 ,15.05000 ,53 
                           FALUN ,02433, SWEDEN ,SA,60.61667 ,15.66667 ,157 
                       EGGEGRUND ,02450, SWEDEN ,SA,60.73333 ,17.56667 ,5 
                           GAVLE ,02453, SWEDEN ,SA,60.71667 ,17.16667 ,16 
                    FILMS KYRKBY ,02456, SWEDEN ,SA,60.23333 ,17.90000 ,39 
                           FLODA ,02476, SWEDEN ,SA,59.05000 ,16.40000 ,19 
                   STOCKHOLM KTH ,02483, SWEDEN ,SA,59.35000 ,18.06667 ,30 
       STOCKHOLM / OBSERVATORIET ,02485, SWEDEN ,SA,59.56667 ,18.10000 ,44 
                        STAVSNAS ,02487, SWEDEN ,SA,59.30000 ,18.70000 ,
                          ORSKAR ,02488, SWEDEN ,SA,60.53333 ,18.38333 ,8 
                     HARSFJARDEN ,02489, SWEDEN ,SA,59.06667 ,18.11667 ,4 
                 SVENSKA HOGARNA ,02496, SWEDEN ,SA,59.45000 ,19.50000 ,12 
                     ALMAGRUNDET ,02499, SWEDEN ,SA,59.15000 ,19.13333 ,25 
                      NORDKOSTER ,02500, SWEDEN ,SA,58.90000 ,11.00000 ,10 
                      VADEROARNA ,02501, SWEDEN ,SA,58.58333 ,11.06667 ,
                        MASESKAR ,02505, SWEDEN ,SA,58.10000 ,11.33333 ,16 
            MASESKAR LIGHT HOUSE ,02508, SWEDEN ,SA,58.10000 ,11.35000 ,14 
                        GOTEBORG ,02513, SWEDEN ,SA,57.70000 ,12.00000 ,5 
                           VINGA ,02516, SWEDEN ,SA,57.63333 ,11.61667 ,19 
                      TRUBADUREN ,02517, SWEDEN ,SA,57.60000 ,11.63333 ,26 
                        NIDINGEN ,02518, SWEDEN ,SA,57.30000 ,11.90000 ,2 
                        RINGHALS ,02519, SWEDEN ,SA,57.26667 ,12.11667 ,
           GOTEBORG / LANDVETTER ,02527, SWEDEN ,SA,57.66667 ,12.30000 ,155 
           GOTEBORG / LANDVETTER ,02527, SWEDEN ,UA,57.66667 ,12.30000 ,155 
                       RANGEDALA ,02536, SWEDEN ,SA,57.78333 ,13.16667 ,297 
                          AXSTAL ,02545, SWEDEN ,SA,58.56667 ,14.56667 ,91 
                      MALEXANDER ,02564, SWEDEN ,SA,58.06667 ,15.23333 ,200 
                         MALILLA ,02566, SWEDEN ,SA,57.40000 ,15.83333 ,96 
                        LANDSORT ,02567, SWEDEN ,SA,58.75000 ,17.86667 ,18 
                         STAVSJO ,02569, SWEDEN ,SA,58.73333 ,16.36667 ,60 
                            SMHI ,02574, SWEDEN ,SA,58.58333 ,16.15000 ,32 
               OLANDS NORRA UDDE ,02575, SWEDEN ,SA,57.36667 ,17.10000 ,2 
                    GUSTAF DALEN ,02583, SWEDEN ,SA,58.60000 ,17.46667 ,
                   GOTSKA SANDON ,02584, SWEDEN ,SA,58.40000 ,19.20000 ,12 
                        HARSTENA ,02586, SWEDEN ,SA,58.25000 ,17.01667 ,5 
                        NASUDDEN ,02599, SWEDEN ,SA,57.06667 ,18.21667 ,
                 HALLANDS VADERO ,02605, SWEDEN ,SA,56.45000 ,12.55000 ,10 
                          KULLEN ,02606, SWEDEN ,SA,56.30000 ,12.45000 ,72 
                     HELSINGBORG ,02611, SWEDEN ,SA,56.03333 ,12.76667 ,43 
                   OSKARSGRUNDET ,02614, SWEDEN ,SA,55.60000 ,12.85000 ,3 
                       FALSTERBO ,02616, SWEDEN ,SA,55.38333 ,12.81667 ,5 
                           TORUP ,02620, SWEDEN ,SA,56.96667 ,13.10000 ,85 
                       SKILLINGE ,02625, SWEDEN ,SA,55.48333 ,14.31667 ,4 
                            OSBY ,02626, SWEDEN ,SA,56.36667 ,13.95000 ,83 
                        LUND LTH ,02627, SWEDEN ,SA,55.71667 ,13.21667 ,73 
                            HANO ,02628, SWEDEN ,SA,56.01667 ,14.85000 ,60 
                           MALMO ,02635, SWEDEN ,SA,55.58333 ,13.01667 ,13 
               OLANDS SODRA UDDE ,02644, SWEDEN ,SA,56.20000 ,16.40000 ,2 
                         UNGSKAR ,02666, SWEDEN ,SA,56.03333 ,15.80000 ,3 
                 KUNGSHOLMS FORT ,02668, SWEDEN ,SA,56.06667 ,15.58333 ,5 
                KALMAR FLYGPLATS ,02670, SWEDEN ,SA,56.68333 ,16.30000 ,6 
                          HOBURG ,02680, SWEDEN ,SA,56.91667 ,18.15000 ,38 
                   VRETA KLOSTER ,02681, SWEDEN ,SA,58.48333 ,15.51667 ,52 
              OLANDS SODRA GRUND ,02685, SWEDEN ,SA,56.06667 ,16.68333 ,
                     KILPISJARVI ,02801, FINLAND ,SA,69.05000 ,20.78333 ,478 
                            KEVO ,02805, FINLAND ,SA,69.75000 ,27.03333 ,107 
                          MUONIO ,02823, FINLAND ,SA,67.96667 ,23.68333 ,253 
                           SALLA ,02848, FINLAND ,SA,66.81667 ,28.66667 ,221 
                          KEMI I ,02863, FINLAND ,SA,65.41667 ,24.13333 ,13 
                         MASSKAR ,02901, FINLAND ,SA,63.73333 ,22.58333 ,11 
                          NIVALA ,02905, FINLAND ,SA,63.91667 ,24.96667 ,79 
                       ULKOKALLA ,02907, FINLAND ,SA,64.33333 ,23.60000 ,10 
                     VALASSAARET ,02910, FINLAND ,SA,63.43333 ,21.06667 ,4 
                           VAASA ,02912, FINLAND ,SA,63.10000 ,21.58333 ,4 
                       ILOMANTSI ,02919, FINLAND ,SA,62.68333 ,30.95000 ,162 
                        MOIKIPAA ,02921, FINLAND ,SA,62.88333 ,21.10000 ,4 
                       NIINISALO ,02942, FINLAND ,SA,61.85000 ,22.46667 ,134 
                    LAPPEENRANTA ,02958, FINLAND ,SA,61.05000 ,28.20000 ,101 
                   KUUSKAJASKARI ,02961, FINLAND ,SA,61.13333 ,21.36667 ,6 
                       JOKIOINEN ,02963, FINLAND ,SA,60.81667 ,23.50000 ,104 
                       JOKIOINEN ,02963, FINLAND ,UA,60.81667 ,23.50000 ,103 
                           LAHTI ,02965, FINLAND ,SA,60.96667 ,25.63333 ,83 
                          JOMALA ,02971, FINLAND ,SA,60.15000 ,19.86667 ,9 
                     SUOMUSJARVI ,02973, FINLAND ,SA,60.40000 ,23.76667 ,84 
                          RANKKI ,02976, FINLAND ,SA,60.36667 ,26.96667 ,11 
                          NYHAMN ,02980, FINLAND ,SA,59.96667 ,19.96667 ,8 
                             UTO ,02981, FINLAND ,SA,59.78333 ,21.38333 ,9 
                         RUSSARO ,02982, FINLAND ,SA,59.76667 ,22.95000 ,6 
                        BAGASKAR ,02984, FINLAND ,SA,59.93333 ,24.01667 ,10 
                   KALLBADAGRUND ,02987, FINLAND ,SA,59.98333 ,25.60000 ,19 
                        ISOSAARI ,02988, FINLAND ,SA,60.10000 ,25.06667 ,4 
                        KUMLINGE ,02990, FINLAND ,SA,60.30000 ,20.75000 ,4 
                          MARKET ,02993, FINLAND ,SA,60.30000 ,19.13333 ,11 
                   MUCKLE FLUGGA ,03001, UK ,SA,60.85000 ,-0.88333 ,53 
                      BALTASOUND ,03002, UK ,SA,60.75000 ,-0.85000 ,15 
                         LERWICK ,03005, UK ,SA,60.13333 ,-1.18333 ,82 
                         LERWICK ,03005, UK ,UA,60.13333 ,-1.18333 ,84 
                      SELLA NESS ,03006, UK ,SA,60.45000 ,-1.26667 ,7 
                     MUCKLE HOLM ,03007, UK ,SA,60.58333 ,-1.26667 ,22 
                       FAIR ISLE ,03008, UK ,SA,59.53333 ,-1.63333 ,57 
                 NORTH RONALDSAY ,03009, UK ,SA,59.36667 ,-2.41667 ,11 
                     SULE SKERRY ,03010, UK ,SA,59.08333 ,-4.40000 ,16 
                      NORTH RONA ,03011, UK ,SA,59.11667 ,-5.81667 ,98 
                           FOULA ,03013, UK ,SA,60.15000 ,-2.06667 ,22 
                           FOULA ,03014, UK ,SA,60.11667 ,-2.06667 ,13 
                    LOCHBOISDALE ,03021, UK ,SA,57.15000 ,-7.31667 ,6 
                SOUTH UIST RANGE ,03023, UK ,SA,57.33333 ,-7.36667 ,10 
                   BUTT OF LEWIS ,03025, UK ,SA,58.51667 ,-6.26667 ,23 
                      WATERSTEIN ,03027, UK ,SA,57.43333 ,-6.76667 ,83 
                 LOCH GLASCANOCH ,03031, UK ,SA,57.71667 ,-4.88333 ,265 
                         AULTBEA ,03034, UK ,SA,57.86667 ,-5.63333 ,11 
                           BARRA ,03035, UK ,SA,57.03333 ,-7.45000 ,3 
                         KILMORY ,03040, UK ,SA,56.76667 ,-6.05000 ,45 
                      AONACH MOR ,03041, UK ,SA,56.81667 ,-4.96667 ,1130 
                      ALTNAHARRA ,03044, UK ,SA,58.28333 ,-4.43333 ,81 
                  TULLOCH BRIDGE ,03047, UK ,SA,56.86667 ,-4.70000 ,237 
                      CAPE WRATH ,03049, UK ,SA,58.63333 ,-5.00000 ,112 
                   STRATHY POINT ,03054, UK ,SA,58.60000 ,-4.01667 ,32 
                        RACKWICK ,03055, UK ,SA,58.86667 ,-3.38333 ,20 
                          FOYERS ,03057, UK ,SA,57.26667 ,-4.48333 ,21 
             INVERGORDON HARBOUR ,03058, UK ,SA,57.68333 ,-4.16667 ,3 
                        AVIEMORE ,03063, UK ,SA,57.20000 ,-3.83333 ,220 
                       CAIRNGORM ,03065, UK ,SA,57.11667 ,-3.63333 ,1245 
                       GLENLIVET ,03070, UK ,SA,57.35000 ,-3.35000 ,213 
                       CAIRNWELL ,03072, UK ,SA,56.88333 ,-3.41667 ,933 
               SCRABSTER HARBOUR ,03074, UK ,SA,58.61667 ,-3.55000 ,10 
                  TEMP FOR 03075 ,03076, UK ,SA,58.45000 ,-3.10000 ,39 
                         LYBSTER ,03077, UK ,SA,58.31667 ,-3.28333 ,85 
                          ABOYNE ,03080, UK ,SA,57.08333 ,-2.83333 ,140 
                       INCHMARLO ,03085, UK ,SA,57.06667 ,-2.53333 ,80 
                     INVERBERVIE ,03088, UK ,SA,56.85000 ,-2.26667 ,134 
               PETERHEAD HARBOUR ,03092, UK ,SA,57.50000 ,-1.76667 ,15 
                      ROSEHEARTY ,03094, UK ,SA,57.70000 ,-2.11667 ,4 
                           ORSAY ,03102, UK ,SA,55.66667 ,-6.50000 ,23 
                            OBAN ,03114, UK ,SA,56.41667 ,-5.46667 ,4 
                       LOCHRANZA ,03120, UK ,SA,55.70000 ,-5.30000 ,46 
                        KILDONAN ,03121, UK ,SA,55.43333 ,-5.10000 ,18 
                     WEST FREUGH ,03130, UK ,SA,54.85000 ,-4.95000 ,17 
                  PRESTWICK RNAS ,03136, UK ,SA,55.51667 ,-4.58333 ,26 
                        WHITHORN ,03137, UK ,SA,54.70000 ,-4.41667 ,40 
