STATION,ICAO,LAT,LON,ELEV,M,PRIORITY,CD,COUNTRY
ADAK NAS,PADK,51.88 ,-176.65 ,4,X,7,AK,US
AKHIOK,PAKH,56.93 ,-154.18 ,14,X,8,AK,US
AMBLER,PAFM,67.10 ,-157.85 ,88,X,7,AK,US
ANAKTUVUK PASS,PAKP,68.13 ,-151.73 ,642,X,7,AK,US
ANCHORAGE INTL,PANC,61.17 ,-150.02 ,38,X,5,AK,US
ANCHORAGE/LAKE H,PALH,61.18 ,-149.97 ,22,X,7,AK,US
ANCHORAGE/MERRIL,PAMR,61.22 ,-149.85 ,41,X,7,AK,US
ANGOON SEAPLANE,PAGN,57.50 ,-134.58 ,2,X,8,AK,US
ANIAK,PANI,61.58 ,-159.53 ,26,X,7,AK,US
ANNETTE ISLAND,PANT,55.03 ,-131.57 ,36,X,5,AK,US
ANVIK,PANV,62.65 ,-160.18 ,99,X,7,AK,US
ARCTIC VILLAGE,PARC,68.12 ,-145.58 ,636,X,7,AK,US
ATQASUK BURNELL,PATQ,70.47 ,-157.43 ,29,X,7,AK,US
ATKA,PAAK,52.22 ,-174.20 ,17,X,7,AK,US
BARROW,PABR,71.30 ,-156.78 ,7,X,5,AK,US
BARTER ISLAND,PABA,70.13 ,-143.58 ,2,X,7,AK,US
BETHEL,PABE,60.78 ,-161.80 ,41,X,5,AK,US
BETTLES,PABT,66.92 ,-151.52 ,195,X,6,AK,US
BIG RIVER LAKES,PALV,60.82 ,-152.30 ,12,X,7,AK,US
BIRCHWOOD,PABV,61.42 ,-149.52 ,29,X,7,AK,US
BUCKLAND,PABL,65.98 ,-161.15 ,7,X,7,AK,US
CANTWELL,PATW,63.38 ,-148.95 ,668,X,7,AK,US
CAPE LISBURNE,PALU,68.88 ,-166.13 ,3,X,6,AK,US
CAPE NEWENHAM,PAEH,58.65 ,-162.07 ,161,X,6,AK,US
CAPE ROMANZOF,PACZ,61.78 ,-166.03 ,146,X,6,AK,US
CENTRAL,PARL,65.57 ,-144.78 ,284,X,7,AK,US
CENTRAL,PACE,65.57 ,-144.78 ,286,X,7,AK,US
CHANDALAR LAKE,PALR,67.50 ,-148.48 ,585,X,7,AK,US
CHEVAK,PAVA,61.53 ,-165.60 ,23,X,7,AK,US
CHIGNIK BAY,PAJC,56.32 ,-158.37 ,15,X,7,AK,US
CIRCLE/PAFC RFC,PACR,65.83 ,-144.07 ,182,X,7,AK,US
COLD BAY,PACD,55.20 ,-162.72 ,30,X,5,AK,US
CORDOVA,PACV,60.50 ,-145.50 ,12,X,6,AK,US
DEADHORSE,PASC,70.20 ,-148.47 ,15,X,6,AK,US
DEERING,PADE,66.07 ,-162.77 ,5,X,7,AK,US
DELTA JUNCTION,PABI,64.00 ,-145.73 ,386,X,6,AK,US
DILLINGHAM,PADL,59.05 ,-158.52 ,26,X,6,AK,US
EAGLE,PAEG,64.78 ,-141.15 ,268,X,7,AK,US
EARECKSON/SHEMYA,PASY,52.72 ,174.12 ,31,X,5,AK,US
EGEGIK,PAII,58.18 ,-157.38 ,30,X,7,AK,US
EIELSON AFB,PAEI,64.67 ,-147.10 ,167,X,6,AK,US
ELFIN COVE,PAEL,58.20 ,-136.35 ,3,X,7,AK,US
ELMENDORF AFB,PAED,61.25 ,-149.80 ,59,X,6,AK,US
EMMONAK,PAEM,62.77 ,-164.52 ,3,X,7,AK,US
EUREKA,PAZK,61.93 ,-147.17 ,1003,X,7,AK,US
FAIRBANKS,PAFA,64.82 ,-147.87 ,132,X,5,AK,US
FALSE PASS,PAKF,54.85 ,-163.42 ,6,X,7,AK,US
FAREWELL LAKE,PAFK,62.53 ,-153.60 ,321,X,7,AK,US
FORT WAINWRIGHT,PAFB,64.83 ,-147.62 ,137,X,6,AK,US
FORT YUKON,PAFY,66.57 ,-145.27 ,431,Z,7,AK,US
FORT YUKON,PFYU,66.57 ,-145.27 ,431,X,7,AK,US
FUNTER BAY,PAFN,58.25 ,-134.90 ,9,X,7,AK,US
GALBRAITH LAKE,PAGB,68.48 ,-149.48 ,811,X,7,AK,US
GALENA,PAGA,64.73 ,-156.93 ,46,X,6,AK,US
GAMBELL,PAGM,63.77 ,-171.73 ,8,X,7,AK,US
GOLOVIN,PAGL,64.55 ,-163.03 ,8,X,7,AK,US
GULKANA,PAGK,62.15 ,-145.45 ,481,X,6,AK,US
GUSTAVUS,PAGS,58.42 ,-135.73 ,9,X,6,AK,US
HAINES,PAHN,59.25 ,-135.52 ,5,X,6,AK,US
HAYES RIVER,PAHZ,61.98 ,-152.08 ,305,X,7,AK,US
HEALY,PAHV,63.83 ,-149.00 ,396,X,7,AK,US
HOLY CROSS,PAHC,62.18 ,-159.78 ,21,X,7,AK,US
HOMER,PAHO,59.63 ,-151.50 ,28,X,6,AK,US
HOONAH,PAOH,58.10 ,-135.45 ,9,X,7,AK,US
HOOPER BAY,PAHP,61.53 ,-166.15 ,5,X,7,AK,US
HUSLIA,PAHS,65.70 ,-156.38 ,55,X,7,AK,US
HUSLIA,PAHL,65.70 ,-156.35 ,65,X,7,AK,US
HYDABURG,PAHY,55.20 ,-132.83 ,1,X,7,AK,US
IGIUGIG,PAIG,59.32 ,-155.90 ,28,X,7,AK,US
ILIAMNA,PAIL,59.75 ,-154.92 ,49,X,6,AK,US
INDIAN MOUNTAIN,PAIM,66.00 ,-153.70 ,389,X,6,AK,US
JUNEAU,PAJN,58.37 ,-134.58 ,5,X,0,AK,US
KAKE,PAFE,56.97 ,-133.95 ,9,X,7,AK,US
KALSKAG,PALG,61.53 ,-160.33 ,17,X,7,AK,US
KALTAG,PAKV,64.33 ,-158.75 ,61,X,7,AK,US
KENAI,PAEN,60.57 ,-151.25 ,27,X,6,AK,US
KETCHIKAN,PAKT,55.35 ,-131.70 ,28,X,6,AK,US
KIANA,PAIK,66.98 ,-160.43 ,51,X,8,AK,US
KING COVE,PAVC,55.12 ,-162.27 ,47,X,8,AK,US
KING SALMON,PAKN,58.68 ,-156.65 ,17,X,5,AK,US
KING SALMON AFS,KQRC,58.68 ,-156.63 ,15,X,7,AK,US
KIPNUK,PAKI,59.93 ,-164.03 ,4,X,8,AK,US
KIVALINA,PAVL,67.73 ,-164.55 ,3,X,7,AK,US
KLAWOCK,PAKW,55.58 ,-133.07 ,15,X,7,AK,US
KODIAK,PADQ,57.75 ,-152.50 ,34,X,5,AK,US
KOLIGANEK,PAJZ,59.73 ,-157.27 ,82,X,8,AK,US
KOTZEBUE,PAOT,66.87 ,-162.63 ,3,X,5,AK,US
KOYUK,PAKK,64.93 ,-161.15 ,47,X,7,AK,US
KUPARUK,PAKU,70.32 ,-149.58 ,2,X,7,AK,US
MANLEY HOT SPRIN,PAML,65.00 ,-150.65 ,81,X,7,AK,US
MANOKOTAK,PAMB,58.98 ,-159.05 ,16,X,7,AK,US
MARSHALL,PADM,61.87 ,-162.03 ,31,X,8,AK,US
MCCARTHY,PAMX,61.43 ,-142.92 ,455,X,7,AK,US
MCGRATH,PAMC,62.97 ,-155.62 ,103,X,5,AK,US
MCKINLEY PARK,PAIN,63.73 ,-148.92 ,524,X,7,AK,US
MEKORYUK,PAMY,60.37 ,-166.27 ,13,X,7,AK,US
METLAKATLA,PAMM,55.13 ,-131.58 ,1,X,7,AK,US
MIDDLETON ISLAND,PAMD,59.43 ,-146.33 ,14,X,7,AK,US
MINCHUMINA,PAMH,63.90 ,-152.27 ,214,X,7,AK,US
MOUNTAIN VILLAGE,PAMO,62.10 ,-163.68 ,103,X,7,AK,US
NABESNA,PABN,62.40 ,-143.00 ,880,X,7,AK,US
NELSON LAGOON,PAOU,56.00 ,-161.17 ,4,X,8,AK,US
NENANA,PANN,64.55 ,-149.08 ,110,X,7,AK,US
NEW STUYAHOK,PANW,59.45 ,-157.33 ,92,X,8,AK,US
NIKOLAI,PAFS,63.02 ,-154.35 ,126,X,7,AK,US
NOME,PAOM,64.50 ,-165.43 ,11,X,5,AK,US
CHULITNA,PAEC,62.88 ,-149.83 ,381,X,7,AK,US
NORTHWAY,PAOR,62.97 ,-141.93 ,523,X,6,AK,US
NOATAK,PAWN,67.57 ,-162.98 ,30,X,7,AK,US
NUIQSUT,PAQT,70.22 ,-151.00 ,12,X,6,AK,US
NUIQSUT VILLAGE,PALP,70.33 ,-150.93 ,5,X,7,AK,US
OLIKTOK POINT,POLI,70.50 ,-149.88 ,5,X,7,AK,US
PALMER,PAAQ,61.60 ,-149.08 ,73,X,6,AK,US
PAXSON,PAXK,63.03 ,-145.50 ,809,X,7,AK,US
PETERSBURG,PAPG,56.82 ,-132.97 ,15,X,6,AK,US
PILOT POINT,PAPN,57.58 ,-157.57 ,18,X,8,AK,US
PLATINUM,PAPM,59.02 ,-161.82 ,5,X,7,AK,US
POINT HOPE,PAPO,68.35 ,-166.80 ,6,X,7,AK,US
POINT LAY,PPIZ,69.73 ,-163.00 ,8,X,7,AK,US
PORT ALEXANDER,PAAP,56.23 ,-134.65 ,6,X,7,AK,US
PORT ALSWORTH,PALJ,60.20 ,-154.30 ,81,X,7,AK,US
PORT CLARENCE,PAPC,65.25 ,-166.85 ,3,X,7,AK,US
PORT HEIDEN,PAPH,56.95 ,-158.62 ,29,X,7,AK,US
PORTAGE GLACIER,PATO,60.78 ,-148.85 ,31,X,7,AK,US
PROSPECT CREEK,PAPR,66.82 ,-150.65 ,335,X,7,AK,US
PRUDHOE BAY,PAUD,70.25 ,-148.33 ,12,X,7,AK,US
PUNTILLA LAKE,PAPT,62.10 ,-152.75 ,558,X,7,AK,US
REG DOG,PARD,68.03 ,-162.90 ,297,X,7,AK,US
REG DOG,PADG,68.03 ,-162.90 ,297,X,7,AK,US
RUBY,PARY,64.73 ,-155.47 ,199,X,7,AK,US
RUSSIAN MISSION,PARS,61.77 ,-161.32 ,16,X,7,AK,US
SAINT MARYS,PASM,62.07 ,-163.30 ,92,X,7,AK,US
SAND POINT,PASD,55.33 ,-160.50 ,7,X,7,AK,US
SAVOONGA,PASA,63.68 ,-170.50 ,16,X,7,AK,US
SCAMMON BAY,PACM,61.85 ,-165.57 ,4,X,7,AK,US
SELAWIK,PASK,66.60 ,-160.00 ,8,X,7,AK,US
SELDOVIA,PASO,59.45 ,-151.70 ,9,X,7,AK,US
SEWARD,PAWD,60.12 ,-149.45 ,23,X,7,AK,US
SHISHMAREF,PASH,66.27 ,-166.03 ,2,X,7,AK,US
SITKA,PASI,57.07 ,-135.35 ,5,X,6,AK,US
SKAGWAY,PAGY,59.47 ,-135.30 ,5,X,6,AK,US
SKWENTNA,PASW,61.97 ,-151.20 ,48,X,7,AK,US
SLANA,PADT,62.72 ,-143.85 ,730,X,7,AK,US
SLEETMUTE,PASL,61.72 ,-157.15 ,55,X,7,AK,US
SNOWSHOE LAKE,PALK,62.03 ,-142.67 ,735,X,7,AK,US
SOLDOTNA,PASX,60.48 ,-151.03 ,32,X,7,AK,US
SPARREVOHN,PASV,61.10 ,-155.57 ,484,X,7,AK,US
ST GEORGE,PAPB,56.58 ,-169.67 ,35,X,7,AK,US
ST MICHAEL,PAMK,63.48 ,-162.12 ,28,X,8,AK,US
ST PAUL ISLAND,PASN,57.15 ,-170.22 ,29,X,5,AK,US
STONY RIVER LAND,PAER,61.27 ,-153.80 ,345,X,7,AK,US
SUTTON,PAJV,61.72 ,-148.88 ,263,X,7,AK,US
TAHNETNA PASS LO,PASP,61.82 ,-147.55 ,799,X,7,AK,US
TALKEETNA,PATK,62.30 ,-150.10 ,109,X,6,AK,US
TANANA,PATA,65.17 ,-152.10 ,67,X,6,AK,US
TATALINA AFS,PATL,62.90 ,-155.97 ,294,X,6,AK,US
TELLER,PATE,65.23 ,-166.33 ,90,X,8,AK,US
TIN CITY AFS,PATC,65.57 ,-167.92 ,83,X,6,AK,US
TOGIAK,PATG,59.05 ,-160.38 ,4,X,7,AK,US
TOKSOOK BAY,PAOO,60.53 ,-165.12 ,18,X,7,AK,US
UMIAT,PAUM,69.37 ,-152.13 ,104,X,7,AK,US
UNALAKLEET,PAUN,63.88 ,-160.80 ,6,X,6,AK,US
DUTCH HARBOR,PADU,53.90 ,-166.53 ,4,X,6,AK,US
VALDEZ,PAVD,61.13 ,-146.25 ,37,X,6,AK,US
VALDEZ WSO,PAVW,61.13 ,-146.35 ,11,X,7,AK,US
WAINWRIGHT,PAWI,70.62 ,-159.85 ,27,X,7,AK,US
WALES,PAIW,65.62 ,-168.10 ,7,X,8,AK,US
WASILLA,PAWS,61.57 ,-149.53 ,107,X,7,AK,US
WHITTIER,PAWR,60.78 ,-148.72 ,47,X,7,AK,US
WILLOW,PAUO,61.75 ,-150.05 ,69,X,7,AK,US
WOLVERINE ROAD,PAIZ,61.63 ,-149.03 ,236,X,7,AK,US
WRANGELL,PAWG,56.48 ,-132.37 ,11,X,6,AK,US
YAKUTAT,PAYA,59.52 ,-139.67 ,11,X,5,AK,US
ALABASTER,KEET,33.18 ,-86.78 ,173,X,3,AL,US
ALBERTVILLE MUNI,K8A0,34.23 ,-86.25 ,315,X,7,AL,US
ALEXANDER/RUSSEL,KALX,32.92 ,-85.97 ,209,X,7,AL,US
ANDALUSIA/OPP AR,K79J,31.32 ,-86.40 ,94,X,8,AL,US
ANNISTON,KANB,33.58 ,-85.85 ,183,X,6,AL,US
AUBURN UNIV. (AM,KAUB,32.60 ,-85.50 ,198,X,7,AL,US
AUBURN OPELIKA A,KAUO,32.62 ,-85.42 ,236,X,7,AL,US
BIRMINGHAM,KBHM,33.57 ,-86.75 ,197,X,4,AL,US
OZARK/CAIRNS AAF,KOZR,31.28 ,-85.72 ,93,X,6,AL,US
CENTREVILLE WSM,K0A8,32.88 ,-87.25 ,140,X,6,AL,US
CULLMAN/FOLSOM F,K3A1,34.27 ,-86.85 ,294,X,7,AL,US
DECATUR,KDCU,34.65 ,-86.95 ,176,X,7,AL,US
DOTHAN,KDHN,31.32 ,-85.45 ,113,X,6,AL,US
EUFAULA,KEUF,31.95 ,-85.13 ,87,X,8,AL,US
EVERGREEN,KGZH,31.42 ,-87.05 ,78,X,7,AL,US
FAIRHOPE,K4R4,30.47 ,-87.88 ,28,X,8,AL,US
FLORALA MUNI,K0J4,31.05 ,-86.32 ,96,X,8,AL,US
FT PAYNE/ISBELL,K4A9,34.47 ,-85.72 ,267,X,7,AL,US
FT RUCKER/SHELL,KSXS,31.37 ,-85.85 ,122,X,7,AL,US
FT RUCKER/HANCHE,KHEY,31.35 ,-85.65 ,97,X,8,AL,US
GADSDEN MUNI,KGAD,33.97 ,-86.07 ,173,X,7,AL,US
GREENVILLE,KPRN,31.85 ,-86.62 ,138,X,8,AL,US
GULF SHORES,KJKA,30.28 ,-87.67 ,5,X,7,AL,US
HALEYVILLE,K1M4,34.28 ,-87.60 ,284,X,8,AL,US
HUNTSVILLE,KHSV,34.65 ,-86.78 ,191,X,4,AL,US
HUNTSVILLE/MADIS,KMDQ,34.87 ,-86.55 ,230,X,8,AL,US
LOWE AHP/FT. RUC,KLOR,31.35 ,-85.75 ,74,X,7,AL,US
MAXWELL AFB/MGM,KMXF,32.37 ,-86.37 ,51,X,6,AL,US
MOBILE/BROOKLEY,KBFM,30.62 ,-88.07 ,20,X,7,AL,US
MOBILE/BATES,KMOB,30.68 ,-88.25 ,63,X,3,AL,US
MONTGOMERY,KMGM,32.30 ,-86.40 ,63,X,4,AL,US
MUSCLE SHOAL,KMSL,34.75 ,-87.60 ,164,X,6,AL,US
PHI OIL PLAT,KRAM,29.05 ,-88.08 ,10,X,8,AL,US
REDSTONE ARSENAL,KHUA,34.68 ,-86.68 ,209,X,8,AL,US
TROY,KTOI,31.85 ,-86.02 ,118,X,7,AL,US
TUSCALOOSA,KTCL,33.22 ,-87.62 ,49,X,6,AL,US
CENTREVILLE WSM,KCKL,32.88 ,-87.25 ,140,Z,8,AL,US
DAUPHIN ISLAND,K4R9,30.27 ,-88.13 ,2,Z,8,AL,US
HUNTSVILLE/MADIS,KM82,34.85 ,-86.55 ,231,Z,8,AL,US
ARKADELPHIA,KM89,34.10 ,-93.07 ,56,X,8,AR,US
BATESVILLE,KBVX,35.72 ,-91.65 ,141,X,7,AR,US
BENTONVILLE,KH00,36.35 ,-94.22 ,395,X,7,AR,US
BENTONVILLE,KVBT,36.35 ,-94.22 ,395,X,7,AR,US
BENTONVILLE (NW),KXNA,36.28 ,-94.30 ,392,X,6,AR,US
BLYTHEVILLE,KHKA,35.93 ,-89.83 ,78,X,7,AR,US
BLYTHEVILLE,KBYH,35.97 ,-89.95 ,78,X,7,AR,US
CAMDEN,KCDH,33.62 ,-92.77 ,35,X,8,AR,US
CLINTON MUNI,KCCA,35.60 ,-92.45 ,157,X,8,AR,US
CORNING,K4M9,36.40 ,-90.65 ,90,X,8,AR,US
DE QUEEN,KDEQ,34.05 ,-94.40 ,106,X,7,AR,US
EL DORADO,KELD,33.22 ,-92.82 ,81,X,6,AR,US
FAYETTEVILLE,KFYV,36.02 ,-94.17 ,379,X,4,AR,US
FLIPPIN (AWOS),KFLP,36.28 ,-92.58 ,219,X,7,AR,US
FORT SMITH,KFSM,35.33 ,-94.37 ,140,X,3,AR,US
HARRISON,KHRO,36.27 ,-93.15 ,417,X,6,AR,US
HOT SPRINGS,KHOT,34.48 ,-93.10 ,162,X,6,AR,US
JONESBORO,KJBR,35.83 ,-90.65 ,79,X,6,AR,US
LITTLE ROCK,KLIT,34.73 ,-92.23 ,79,X,0,AR,US
LITTLE ROCK AFB,KLRF,34.92 ,-92.15 ,95,X,1,AR,US
MENA INTERMTN,KMEZ,34.55 ,-94.20 ,329,X,8,AR,US
W MEMPHIS MUNI,KAWM,35.13 ,-90.23 ,65,X,5,AR,US
MONTICELLO,KLLQ,33.63 ,-91.75 ,83,X,7,AR,US
MOUNT IDA,KMWT,34.55 ,-93.58 ,214,X,7,AR,US
MOUNTAIN HOME,KBPK,36.37 ,-92.47 ,280,X,7,AR,US
N. LITTLE ROCK,KLZK,34.83 ,-92.27 ,173,X,8,AR,US
NEWPORT,KM19,35.63 ,-91.18 ,73,X,8,AR,US
PINE BLUFF/GRIDR,KPBF,34.18 ,-91.93 ,62,X,6,AR,US
ROGERS,KROG,36.37 ,-94.08 ,415,X,7,AR,US
RUSSELLVILLE,KRUE,35.25 ,-93.10 ,115,X,7,AR,US
SEARCY,KSRC,35.25 ,-91.73 ,80,X,7,AR,US
SILOAM SPRING,KSLG,36.20 ,-94.47 ,300,X,7,AR,US
SPRINGDALE MUNI,KASG,36.17 ,-94.12 ,412,X,7,AR,US
STUTTGART,KSGT,34.60 ,-91.57 ,68,X,7,AR,US
TEXARKANA,KTXK,33.45 ,-93.98 ,111,X,6,AR,US
WALNUT RIDGE,KARG,36.12 ,-90.92 ,83,X,6,AR,US
MENA INTERMTN,KM39,34.55 ,-94.20 ,329,Z,8,AR,US
PHOENIX/SKY HRBR,KPHX,33.43 ,-112.05 ,336,X,0,AZ,US
TUCSON,KTUS,32.13 ,-110.95 ,776,X,2,AZ,US
BULLHEAD CITY,KIFP,35.15 ,-114.57 ,212,X,7,AZ,US
CASA GRANDA,KCGZ,32.95 ,-111.77 ,446,X,7,AZ,US
CHANDLER/MESA,KIWA,33.30 ,-111.65 ,412,X,3,AZ,US
CHANDLER,KCHD,33.27 ,-111.82 ,379,X,8,AZ,US
DAVIS/TUCSON,KDMA,32.17 ,-110.87 ,824,X,6,AZ,US
DOUGLAS BISBEE,KDUG,31.47 ,-109.58 ,1265,X,6,AZ,US
FLAGSTAFF,KFLG,35.13 ,-111.67 ,2134,X,2,AZ,US
FORT HUACHUCA,KFHU,31.58 ,-110.35 ,1438,X,6,AZ,US
GILA BEND (AAF),KGBN,32.87 ,-112.72 ,262,X,7,AZ,US
GLENDALE,KGEU,33.53 ,-112.30 ,325,X,7,AZ,US
LUKE AFB/GLENDAL,KLUF,33.52 ,-112.37 ,332,X,6,AZ,US
GOODYEAR MUNICIP,KGYR,33.42 ,-112.37 ,295,X,7,AZ,US
GRAND CANYON,KGCN,35.95 ,-112.15 ,2016,X,4,AZ,US
GRAND CANYON/VAL,K40G,35.63 ,-112.15 ,1830,X,7,AZ,US
KINGMAN,KIGM,35.25 ,-113.93 ,1032,X,7,AZ,US
LAKE HAVASU CITY,KHII,34.57 ,-114.37 ,238,X,8,AZ,US
MESA/FALCON FLD,KFFZ,33.47 ,-111.72 ,424,X,7,AZ,US
NOGALES,KOLS,31.42 ,-110.85 ,1184,X,6,AZ,US
PAGE,KPGA,36.92 ,-111.45 ,1307,X,3,AZ,US
PAYSON,KPAN,34.25 ,-111.33 ,1572,X,9,AZ,US
PHOENIX/DEER VLY,KDVT,33.68 ,-112.07 ,443,X,1,AZ,US
PIONEER AIRFIELD,KALK,31.60 ,-110.43 ,1453,X,8,AZ,US
PRESCOTT,KPRC,34.65 ,-112.42 ,1524,X,3,AZ,US
SAFFORD,KSAD,32.85 ,-109.63 ,962,X,6,AZ,US
SCOTTSDALE,KSDL,33.62 ,-111.92 ,447,X,7,AZ,US
SEDONA,KSEZ,34.85 ,-111.78 ,1473,X,8,AZ,US
SHOW LOW MUNICIP,KSOW,34.27 ,-110.00 ,1954,X,6,AZ,US
ST. JOHNS,KSJN,34.52 ,-109.38 ,1745,X,6,AZ,US
TUCSON/RYAN FLD,KRYN,32.15 ,-111.17 ,737,X,8,AZ,US
WILLIAMS CLARK,KCMR,35.30 ,-112.20 ,2036,X,8,AZ,US
WINDOW ROCK,KRQE,35.65 ,-109.07 ,2055,X,7,AZ,US
WINSLOW,KINW,35.03 ,-110.72 ,1490,X,4,AZ,US
YUMA INTL,KYUM,32.63 ,-114.58 ,63,X,3,AZ,US
YUMA MCAS,KNYL,32.63 ,-114.62 ,65,X,6,AZ,US
NOGALES,K13A,31.42 ,-110.85 ,1198,Z,8,AZ,US
PAYSON,K0E4,34.22 ,-111.32 ,1498,Z,8,AZ,US
SAFFORD,KE74,32.82 ,-109.68 ,900,Z,8,AZ,US
SHOW LOW,KE03,34.25 ,-110.03 ,1955,Z,8,AZ,US
TUBA CITY,KT03,36.10 ,-111.38 ,1400,Z,8,AZ,US
WINDOW ROCK,KP34,35.65 ,-109.07 ,2055,Z,8,AZ,US
ALAMEDA NAS,KNGZ,37.77 ,-122.32 ,4,X,7,CA,US
ALTURAS,KAAT,41.48 ,-120.57 ,1331,X,7,CA,US
ARCATA/EUREKA,KACV,40.98 ,-124.10 ,67,X,6,CA,US
AUBURN MUNI,KAUN,38.95 ,-121.08 ,467,X,8,CA,US
AVALON,KAVX,33.40 ,-118.42 ,482,X,7,CA,US
BAKERSFIELD,KBFL,35.43 ,-119.05 ,151,X,6,CA,US
BEALE AFB/MARYSV,KBAB,39.12 ,-121.42 ,34,X,6,CA,US
BEAUMONT,KBUO,33.92 ,-116.97 ,692,X,7,CA,US
BIG BEAR CITY,KL35,34.27 ,-116.85 ,2059,X,8,CA,US
BICYCLE LAKE,KBYS,35.28 ,-116.62 ,716,X,6,CA,US
BISHOP,KBIH,37.37 ,-118.35 ,1253,X,6,CA,US
BLYTHE,KBLH,33.62 ,-114.72 ,119,X,6,CA,US
BURBANK,KBUR,34.20 ,-118.37 ,217,X,6,CA,US
BURNEY,KBNY,40.87 ,-121.67 ,957,X,7,CA,US
CALEXICO INTL,KCXL,32.67 ,-115.50 ,1,X,7,CA,US
CAMARILLO,KCMA,34.22 ,-119.07 ,23,X,7,CA,US
CAMP PENDLETON,KNFG,33.28 ,-117.33 ,24,X,6,CA,US
CAMPO,KCZZ,32.63 ,-116.47 ,807,X,7,CA,US
CARLSBAD,KCRQ,33.13 ,-117.28 ,99,X,6,CA,US
CHICO MUNICIPAL,KCIC,39.78 ,-121.83 ,73,X,7,CA,US
CHINA LAKE (NAF),KNID,35.67 ,-117.67 ,696,X,4,CA,US
CHINO,KCNO,33.98 ,-117.62 ,207,X,7,CA,US
COLUMBIA,KO22,38.03 ,-120.42 ,646,X,7,CA,US
CONCORD,KCCR,38.00 ,-122.05 ,11,X,7,CA,US
CORONA MUNI,KAJO,33.90 ,-117.60 ,163,X,8,CA,US
CRESCENT CITY,KCEC,41.77 ,-124.22 ,17,X,6,CA,US
DAGGETT,KDAG,34.85 ,-116.78 ,587,X,6,CA,US
EDWARDS AFB,KEDW,34.88 ,-117.87 ,702,X,3,CA,US
EDWARDS N-AUX,K9L2,34.97 ,-117.87 ,701,X,8,CA,US
EL CENTRO NAF,KNJK,32.82 ,-115.67 ,-13,X,6,CA,US
EL MONTE,KEMT,34.07 ,-118.02 ,90,X,7,CA,US
EMIGRANT GAP,KBLU,39.28 ,-120.70 ,1609,X,7,CA,US
EUREKA/MURRAY,KEKA,40.80 ,-124.17 ,18,X,8,CA,US
FRESNO,KFAT,36.78 ,-119.72 ,104,X,2,CA,US
FRESNO CHANDLER,KFCH,36.72 ,-119.82 ,85,X,7,CA,US
FULLERTON,KFUL,33.87 ,-117.98 ,35,X,7,CA,US
HALF MOON BAY,KHAF,37.52 ,-122.50 ,21,X,8,CA,US
HANFORD,KHJO,36.32 ,-119.62 ,74,X,7,CA,US
HANFORD,KO18,36.32 ,-119.63 ,74,X,7,CA,US
HAWTHORNE,KHHR,33.92 ,-118.33 ,18,X,7,CA,US
HAYWARD,KHWD,37.67 ,-122.12 ,21,X,7,CA,US
HOLLISTER MUNI,KCVH,36.90 ,-121.42 ,70,X,8,CA,US
HUNTER LIGGET,KHGT,36.00 ,-121.22 ,310,X,7,CA,US
IMPERIAL,KIPL,32.83 ,-115.58 ,-17,X,6,CA,US
IMPERIAL BEACH,KNRS,32.57 ,-117.12 ,7,X,7,CA,US
INYOKERN,KIYK,35.67 ,-117.82 ,749,X,7,CA,US
LA VERNE/BRACKET,KPOC,34.10 ,-117.77 ,308,X,7,CA,US
LANCASTER/FOX,KWJF,34.72 ,-118.22 ,715,X,6,CA,US
LEMOORE NAS/REEV,KNLC,36.32 ,-119.95 ,72,X,6,CA,US
LINCOLN,KLHM,38.92 ,-121.35 ,37,X,8,CA,US
LIVERMORE,KLVK,37.70 ,-121.82 ,117,X,7,CA,US
LOMPOC,KLPC,34.67 ,-120.47 ,27,X,7,CA,US
LONG BEACH,KLGB,33.82 ,-118.15 ,10,X,6,CA,US
LOS ALAMITOS AAF,KSLI,33.77 ,-118.03 ,11,X,7,CA,US
LOS ANGELES,KLAX,33.93 ,-118.38 ,46,X,0,CA,US
LOS ANGELES,KCQT,34.02 ,-118.28 ,56,X,7,CA,US
LA / WHITEMAN,KWHP,34.25 ,-118.42 ,306,X,8,CA,US
MADERA,KMAE,36.98 ,-120.12 ,77,X,7,CA,US
MAMMOTH/JUNE LAK,KMMH,37.62 ,-118.82 ,2173,X,7,CA,US
MARYSVILLE,KMYV,39.10 ,-121.57 ,21,X,7,CA,US
MATHER FIELD,KMHR,38.53 ,-121.28 ,29,X,7,CA,US
MCCLELLAN AFB,KMCC,38.67 ,-121.40 ,23,X,7,CA,US
MERCED,KMCE,37.28 ,-120.50 ,47,X,6,CA,US
MERCED/CASTLE AF,KMER,37.38 ,-120.57 ,57,X,8,CA,US
MIRAMAR NAS/SAN,KNKX,32.87 ,-117.13 ,146,X,5,CA,US
MODESTO,KMOD,37.62 ,-120.95 ,29,X,6,CA,US
MOFFETT NAS/MTN,KNUQ,37.42 ,-122.03 ,12,X,7,CA,US
MOJAVE,KMHV,35.07 ,-118.15 ,849,X,7,CA,US
MONTAGUE/SISKIYO,KSIY,41.77 ,-122.47 ,807,X,7,CA,US
MONTEREY,KMRY,36.58 ,-121.85 ,66,X,2,CA,US
MOUNT SHASTA,KMHS,41.32 ,-122.32 ,1078,X,7,CA,US
MOUNT WILSON,KMWS,34.22 ,-118.07 ,1739,X,7,CA,US
NAPA,KAPC,38.20 ,-122.28 ,13,X,7,CA,US
NEEDLES,KEED,34.77 ,-114.62 ,302,X,6,CA,US
