StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
JAN MAYEN,01001,6,EUROPE / EUROPE,70.92 ,-8.67 ,NORWAY / NORVEGE,6010,6821,0,9,10
JAN MAYEN,01001,6,EUROPE / EUROPE,70.92 ,-8.67 ,NORWAY / NORVEGE,6010,6822,1,,9
VERLEGENHUKEN,01002,6,EUROPE / EUROPE,80.05 ,16.25 ,NORWAY / NORVEGE,6010,6823,0,8,8
HORNSUND,01003,6,EUROPE / EUROPE,77.00 ,15.50 ,NORWAY / NORVEGE,6010,6824,0,11,10
NY-ALESUND II,01004,6,EUROPE / EUROPE,78.92 ,11.92 ,NORWAY / NORVEGE,6010,10284,1,,8
EDGEOYA,01006,6,EUROPE / EUROPE,78.25 ,22.82 ,NORWAY / NORVEGE,6010,6827,0,14,14
NY-ALESUND,01007,6,EUROPE / EUROPE,78.92 ,11.92 ,NORWAY / NORVEGE,6010,10285,0,7,8
SVALBARD AP,01008,6,EUROPE / EUROPE,78.25 ,15.47 ,NORWAY / NORVEGE,6010,6828,0,26,28
KARL XII OYA,01009,6,EUROPE / EUROPE,80.65 ,25.00 ,NORWAY / NORVEGE,6010,6829,0,,5
ANDOYA,01010,6,EUROPE / EUROPE,69.30 ,16.12 ,NORWAY / NORVEGE,6010,6830,0,13,10
KVITOYA,01011,6,EUROPE / EUROPE,80.07 ,31.50 ,NORWAY / NORVEGE,6010,15509,0,,10
HEKKINGEN LH,01015,6,EUROPE / EUROPE,69.60 ,17.83 ,NORWAY / NORVEGE,6010,6832,0,,14
KONGSOYA,01016,6,EUROPE / EUROPE,78.92 ,28.88 ,NORWAY / NORVEGE,6010,14670,0,,20
AKSELOYA,01017,6,EUROPE / EUROPE,77.68 ,14.78 ,NORWAY / NORVEGE,6010,14630,0,6,6
SVARTTANGEN,01019,6,EUROPE / EUROPE,77.52 ,20.82 ,NORWAY / NORVEGE,6010,14631,0,,20
SORKAPPOYA,01020,6,EUROPE / EUROPE,76.47 ,16.53 ,NORWAY / NORVEGE,6010,14671,0,,10
BARDUFOSS,01023,6,EUROPE / EUROPE,69.05 ,18.53 ,NORWAY / NORVEGE,6010,6834,0,76,76
TROMSO/LANGNES,01025,6,EUROPE / EUROPE,69.67 ,18.90 ,NORWAY / NORVEGE,6010,6835,0,8,8
TROMSO,01026,6,EUROPE / EUROPE,69.65 ,18.93 ,NORWAY / NORVEGE,6010,10469,0,114,100
TROMSO-HOLT,01027,6,EUROPE / EUROPE,69.65 ,18.90 ,NORWAY / NORVEGE,6010,15545,0,20,10
BJORNOYA,01028,6,EUROPE / EUROPE,74.52 ,19.00 ,NORWAY / NORVEGE,6010,6836,0,,18
BJORNOYA,01028,6,EUROPE / EUROPE,74.52 ,19.02 ,NORWAY / NORVEGE,6010,6837,1,15,16
TORSVAG LH,01033,6,EUROPE / EUROPE,70.23 ,19.50 ,NORWAY / NORVEGE,6010,6839,0,24,21
LYNGEN GJERDVASSBU,01035,6,EUROPE / EUROPE,69.33 ,20.05 ,NORWAY / NORVEGE,6010,15603,0,,710
SKIBOTN 2,01037,6,EUROPE / EUROPE,69.38 ,20.25 ,NORWAY / NORVEGE,6010,13266,0,4,5
ROGNSUNDET,01043,6,EUROPE / EUROPE,70.40 ,22.82 ,NORWAY / NORVEGE,6010,14622,0,,10
HASVIK AP,01044,6,EUROPE / EUROPE,70.48 ,22.13 ,NORWAY / NORVEGE,6010,15546,0,6,6
NORDSTRAUM I KVAENANGEN,01045,6,EUROPE / EUROPE,69.83 ,21.88 ,NORWAY / NORVEGE,6010,6844,0,,6
SORKJOSEN,01046,6,EUROPE / EUROPE,69.78 ,20.95 ,NORWAY / NORVEGE,6010,13653,0,4,6
KAUTOKEINO,01047,6,EUROPE / EUROPE,68.98 ,23.03 ,NORWAY / NORVEGE,6010,6846,0,307,307
ALTA LUFTHAVN,01049,6,EUROPE / EUROPE,69.97 ,23.35 ,NORWAY / NORVEGE,6010,6847,0,2,3
HAMMERFEST AP,01052,6,EUROPE / EUROPE,70.67 ,23.67 ,NORWAY / NORVEGE,6010,6849,0,79,81
FRUHOLMEN LH,01055,6,EUROPE / EUROPE,71.08 ,23.97 ,NORWAY / NORVEGE,6010,6850,0,14,13
CUOVDDATMOHKKI,01057,6,EUROPE / EUROPE,69.37 ,24.42 ,NORWAY / NORVEGE,6010,6851,0,,286
SUOLOVUOPMI LULIT,01058,6,EUROPE / EUROPE,69.57 ,23.53 ,NORWAY / NORVEGE,6010,13273,0,381,381
BANAK,01059,6,EUROPE / EUROPE,70.05 ,24.98 ,NORWAY / NORVEGE,6010,6852,0,7,5
HOPEN,01062,6,EUROPE / EUROPE,76.50 ,25.00 ,NORWAY / NORVEGE,6010,6853,0,10,6
KARASJOK,01065,6,EUROPE / EUROPE,69.45 ,25.50 ,NORWAY / NORVEGE,6010,6854,0,130,131
HONNINGSVAG AP,01068,6,EUROPE / EUROPE,71.00 ,25.97 ,NORWAY / NORVEGE,6010,15547,0,13,14
MEHAMN AP,01074,6,EUROPE / EUROPE,71.02 ,27.82 ,NORWAY / NORVEGE,6010,15548,0,13,11
RUSTEFJELBMA,01075,6,EUROPE / EUROPE,70.38 ,28.18 ,NORWAY / NORVEGE,6010,6858,0,11,10
SLETTNES LH,01078,6,EUROPE / EUROPE,71.08 ,28.22 ,NORWAY / NORVEGE,6010,6859,0,8,8
BERLEVAG AP,01083,6,EUROPE / EUROPE,70.87 ,29.03 ,NORWAY / NORVEGE,6010,15549,0,13,12
PASVIK,01084,6,EUROPE / EUROPE,69.45 ,30.03 ,NORWAY / NORVEGE,6010,15550,0,27,
BATSFJORD AP,01086,6,EUROPE / EUROPE,70.60 ,29.70 ,NORWAY / NORVEGE,6010,15551,0,152,149
VADSO AP,01088,6,EUROPE / EUROPE,70.05 ,29.83 ,NORWAY / NORVEGE,6010,15552,0,39,38
KIRKENES,01089,6,EUROPE / EUROPE,69.72 ,29.88 ,NORWAY / NORVEGE,6010,6863,0,86,89
MAKKAUR LH,01092,6,EUROPE / EUROPE,70.70 ,30.07 ,NORWAY / NORVEGE,6010,6864,0,,9
VARDO,01098,6,EUROPE / EUROPE,70.37 ,31.08 ,NORWAY / NORVEGE,6010,6865,0,14,14
VARDO AP,01099,6,EUROPE / EUROPE,70.35 ,31.03 ,NORWAY / NORVEGE,6010,15553,0,12,12
SKLINNA LH,01102,6,EUROPE / EUROPE,65.20 ,10.98 ,NORWAY / NORVEGE,6010,6866,0,15,23
ROTVAER,01105,6,EUROPE / EUROPE,68.37 ,15.93 ,NORWAY / NORVEGE,6010,13776,0,,8
ROST AP,01107,6,EUROPE / EUROPE,67.52 ,12.10 ,NORWAY / NORVEGE,6010,6869,0,2,4
VEGA-VALLSJO,01108,6,EUROPE / EUROPE,65.70 ,11.85 ,NORWAY / NORVEGE,6010,6870,0,9,4
BRONNOYSUND AP,01112,6,EUROPE / EUROPE,65.45 ,12.22 ,NORWAY / NORVEGE,6010,15554,0,9,7
REIPA,01114,6,EUROPE / EUROPE,66.90 ,13.63 ,NORWAY / NORVEGE,6010,14284,0,8,9
MYKEN,01115,6,EUROPE / EUROPE,66.75 ,12.48 ,NORWAY / NORVEGE,6010,6872,0,16,17
SANDNESSJOEN AP,01116,6,EUROPE / EUROPE,65.95 ,12.47 ,NORWAY / NORVEGE,6010,15555,0,17,17
TJOTTA,01117,6,EUROPE / EUROPE,65.82 ,12.42 ,NORWAY / NORVEGE,6010,15556,0,21,
SOLVAER III,01121,6,EUROPE / EUROPE,66.37 ,12.60 ,NORWAY / NORVEGE,6010,6874,0,10,10
MOSJOEN AP,01122,6,EUROPE / EUROPE,65.78 ,13.22 ,NORWAY / NORVEGE,6010,6875,0,72,72
KJOBLI I SNASA,01124,6,EUROPE / EUROPE,64.15 ,12.47 ,NORWAY / NORVEGE,6010,13289,0,,195
MAJAVATN V,01132,6,EUROPE / EUROPE,65.15 ,13.37 ,NORWAY / NORVEGE,6010,14008,0,319,319
LAKSFORS,01133,6,EUROPE / EUROPE,65.62 ,13.28 ,NORWAY / NORVEGE,6010,15616,0,,50
SELJELIA,01135,6,EUROPE / EUROPE,66.12 ,13.58 ,NORWAY / NORVEGE,6010,15617,0,123,126
VAEROY HELIPORT,01139,6,EUROPE / EUROPE,67.65 ,12.72 ,NORWAY / NORVEGE,6010,15557,0,4,3
DRAG-AJLUOKTA,01143,6,EUROPE / EUROPE,68.03 ,16.08 ,NORWAY / NORVEGE,6010,13819,0,,19
HELLIGVAER II,01144,6,EUROPE / EUROPE,67.40 ,13.88 ,NORWAY / NORVEGE,6010,13284,0,,24
SKAMDAL,01146,6,EUROPE / EUROPE,66.23 ,13.88 ,NORWAY / NORVEGE,6010,15520,0,,5
VARNTRESK,01147,6,EUROPE / EUROPE,65.82 ,14.18 ,NORWAY / NORVEGE,6010,12030,0,,406
STORFORSHEI,01148,6,EUROPE / EUROPE,66.38 ,14.52 ,NORWAY / NORVEGE,6010,15466,0,,110
HJARTASEN,01150,6,EUROPE / EUROPE,66.48 ,14.95 ,NORWAY / NORVEGE,6010,14457,0,,251
MO I RANA AP,01151,6,EUROPE / EUROPE,66.35 ,14.30 ,NORWAY / NORVEGE,6010,15558,0,70,69
BODO VI,01152,6,EUROPE / EUROPE,67.27 ,14.35 ,NORWAY / NORVEGE,6010,6883,0,12,11
BODO,01152,6,EUROPE / EUROPE,67.25 ,14.40 ,NORWAY / NORVEGE,6010,6884,1,,13
BODO-VAGONES,01153,6,EUROPE / EUROPE,67.28 ,14.45 ,NORWAY / NORVEGE,6010,15559,0,33,
BO I VESTERALEN,01156,6,EUROPE / EUROPE,68.60 ,14.42 ,NORWAY / NORVEGE,6010,12733,0,7,7
SETSA,01158,6,EUROPE / EUROPE,67.15 ,15.48 ,NORWAY / NORVEGE,6010,14458,0,7,7
SKROVA LH,01160,6,EUROPE / EUROPE,68.15 ,14.65 ,NORWAY / NORVEGE,6010,6887,0,11,11
SVOLVAER AP,01161,6,EUROPE / EUROPE,68.23 ,14.67 ,NORWAY / NORVEGE,6010,15560,0,9,8
STOKMARKNES AP,01162,6,EUROPE / EUROPE,68.57 ,15.02 ,NORWAY / NORVEGE,6010,15561,0,3,3
SORTLAND,01167,6,EUROPE / EUROPE,68.70 ,15.42 ,NORWAY / NORVEGE,6010,6890,0,3,3
SALTDAL,01169,6,EUROPE / EUROPE,66.83 ,15.30 ,NORWAY / NORVEGE,6010,6891,0,,81
HARSTAD,01180,6,EUROPE / EUROPE,68.80 ,16.53 ,NORWAY / NORVEGE,6010,12655,0,46,45
EVENES AP,01183,6,EUROPE / EUROPE,68.48 ,16.68 ,NORWAY / NORVEGE,6010,15562,0,26,25
STRAUMSNES,01192,6,EUROPE / EUROPE,68.42 ,17.65 ,NORWAY / NORVEGE,6010,15436,0,,200
NARVIK AP,01193,6,EUROPE / EUROPE,68.43 ,17.38 ,NORWAY / NORVEGE,6010,15563,0,31,28
DIVIDALEN II,01198,6,EUROPE / EUROPE,68.77 ,19.70 ,NORWAY / NORVEGE,6010,14463,0,203,204
SIHCCAJAVRI,01199,6,EUROPE / EUROPE,68.75 ,23.53 ,NORWAY / NORVEGE,6010,6899,0,383,382
KRAKENES,01203,6,EUROPE / EUROPE,62.03 ,4.98 ,NORWAY / NORVEGE,6010,6900,0,39,75
SVINOY LH,01205,6,EUROPE / EUROPE,62.32 ,5.27 ,NORWAY / NORVEGE,6010,6901,0,37,38
FISKABYGD,01207,6,EUROPE / EUROPE,62.10 ,5.57 ,NORWAY / NORVEGE,6010,12822,0,,41
ORSTA-VOLDA AP,01209,6,EUROPE / EUROPE,62.17 ,6.07 ,NORWAY / NORVEGE,6010,15564,0,74,74
ALESUND/VIGRA,01210,6,EUROPE / EUROPE,62.55 ,6.10 ,NORWAY / NORVEGE,6010,6903,0,21,22
ONA II,01212,6,EUROPE / EUROPE,62.85 ,6.53 ,NORWAY / NORVEGE,6010,6904,0,14,13
REKDAL,01214,6,EUROPE / EUROPE,62.65 ,6.75 ,NORWAY / NORVEGE,6010,14067,0,,43
MOLDE AP,01217,6,EUROPE / EUROPE,62.73 ,7.25 ,NORWAY / NORVEGE,6010,15565,0,3,3
TAFJORD,01218,6,EUROPE / EUROPE,62.22 ,7.42 ,NORWAY / NORVEGE,6010,6906,0,17,11
MANNEN,01220,6,EUROPE / EUROPE,62.45 ,7.77 ,NORWAY / NORVEGE,6010,15566,0,1294,
TAGDALEN,01221,6,EUROPE / EUROPE,63.05 ,9.07 ,NORWAY / NORVEGE,6010,13889,0,,450
KRISTIANSUND AP,01223,6,EUROPE / EUROPE,63.10 ,7.80 ,NORWAY / NORVEGE,6010,15567,0,62,62
AALESUND,01224,6,EUROPE / EUROPE,62.47 ,6.20 ,NORWAY / NORVEGE,6010,14279,0,,15
VEIHOLMEN,01225,6,EUROPE / EUROPE,63.52 ,7.93 ,NORWAY / NORVEGE,6010,12656,0,5,5
SULA,01228,6,EUROPE / EUROPE,63.83 ,8.47 ,NORWAY / NORVEGE,6010,6910,0,5,5
BJORLI,01230,6,EUROPE / EUROPE,62.25 ,8.18 ,NORWAY / NORVEGE,6010,14474,0,,579
MARSTEIN,01232,6,EUROPE / EUROPE,62.43 ,7.83 ,NORWAY / NORVEGE,6010,14475,0,64,67
DOMBAAS,01233,6,EUROPE / EUROPE,62.07 ,9.10 ,NORWAY / NORVEGE,6010,13654,0,,638
ORKDAL-THAMSHAMN,01234,6,EUROPE / EUROPE,63.30 ,9.83 ,NORWAY / NORVEGE,6010,13652,0,,4
FOKSTUGU,01238,6,EUROPE / EUROPE,62.10 ,9.28 ,NORWAY / NORVEGE,6010,6913,0,974,973
HJERKINN II,01239,6,EUROPE / EUROPE,62.22 ,9.53 ,NORWAY / NORVEGE,6010,14642,0,,1012
HALTEN LH,01240,6,EUROPE / EUROPE,64.17 ,9.40 ,NORWAY / NORVEGE,6010,6914,0,15,16
ORLAND III,01241,6,EUROPE / EUROPE,63.70 ,9.60 ,NORWAY / NORVEGE,6010,6915,0,8,10
ORLAND III,01241,6,EUROPE / EUROPE,63.70 ,9.58 ,NORWAY / NORVEGE,6010,6916,1,,10
AFJORD II,01242,6,EUROPE / EUROPE,63.95 ,10.20 ,NORWAY / NORVEGE,6010,14004,0,,20
OPPDAL-SETER,01245,6,EUROPE / EUROPE,62.60 ,9.67 ,NORWAY / NORVEGE,6010,12031,0,598,604
FOLLDAL-FREDHEIM,01250,6,EUROPE / EUROPE,62.12 ,9.98 ,NORWAY / NORVEGE,6010,15568,0,694,
SOKNEDAL,01253,6,EUROPE / EUROPE,62.95 ,10.17 ,NORWAY / NORVEGE,6010,14222,0,,299
KOTSOY,01254,6,EUROPE / EUROPE,62.97 ,10.55 ,NORWAY / NORVEGE,6010,14223,0,,127
TRONDHEIM/VOLL,01257,6,EUROPE / EUROPE,63.40 ,10.45 ,NORWAY / NORVEGE,6010,10710,0,131,127
BUHOLMRASA LH,01259,6,EUROPE / EUROPE,64.40 ,10.45 ,NORWAY / NORVEGE,6010,6919,0,18,18
NORDOYAN LH,01262,6,EUROPE / EUROPE,64.78 ,10.53 ,NORWAY / NORVEGE,6010,6920,0,,33
TYNSET-HANSMOEN,01265,6,EUROPE / EUROPE,62.27 ,10.72 ,NORWAY / NORVEGE,6010,12574,0,482,482
KVITHAMAR,01270,6,EUROPE / EUROPE,63.48 ,10.87 ,NORWAY / NORVEGE,6010,15569,0,40,
TRONDHEIM/VERNES,01271,6,EUROPE / EUROPE,63.45 ,10.93 ,NORWAY / NORVEGE,6010,6921,0,17,12
FROSTA,01272,6,EUROPE / EUROPE,63.55 ,10.68 ,NORWAY / NORVEGE,6010,15571,0,70,
SELBU,01273,6,EUROPE / EUROPE,63.22 ,11.00 ,NORWAY / NORVEGE,6010,13833,0,161,160
STEINKJER,01277,6,EUROPE / EUROPE,64.02 ,11.45 ,NORWAY / NORVEGE,6010,6923,0,,6
VERDAL-REPPE,01278,6,EUROPE / EUROPE,63.77 ,11.67 ,NORWAY / NORVEGE,6010,6924,0,83,81
NAMSSKOGAN,01281,6,EUROPE / EUROPE,64.73 ,12.83 ,NORWAY / NORVEGE,6010,13688,0,,140
RORVIK AP,01282,6,EUROPE / EUROPE,64.83 ,11.13 ,NORWAY / NORVEGE,6010,15572,0,4,4
SOLENDET,01287,6,EUROPE / EUROPE,62.67 ,11.82 ,NORWAY / NORVEGE,6010,14769,0,,760
ROROS AP,01288,6,EUROPE / EUROPE,62.57 ,11.35 ,NORWAY / NORVEGE,6010,6927,0,626,625
NAMSOS AP,01290,6,EUROPE / EUROPE,64.47 ,11.57 ,NORWAY / NORVEGE,6010,15573,0,2,2
GARTLAND,01291,6,EUROPE / EUROPE,64.52 ,12.38 ,NORWAY / NORVEGE,6010,14224,0,,95
MERAKER-EGGE,01293,6,EUROPE / EUROPE,63.40 ,11.72 ,NORWAY / NORVEGE,6010,12878,0,169,169
NORDLI-HOLAND,01298,6,EUROPE / EUROPE,64.43 ,13.72 ,NORWAY / NORVEGE,6010,6932,0,,433
GULLFAKS C,01300,6,EUROPE / EUROPE,61.20 ,2.27 ,NORWAY / NORVEGE,6010,11135,0,80,80
YTTEROYANE LH,01304,6,EUROPE / EUROPE,61.57 ,4.67 ,NORWAY / NORVEGE,6010,6933,0,25,26
FEDJE,01307,6,EUROPE / EUROPE,60.77 ,4.72 ,NORWAY / NORVEGE,6010,12945,0,18,19
FURUNESET,01308,6,EUROPE / EUROPE,61.28 ,5.03 ,NORWAY / NORVEGE,6010,15574,0,7,
FLORO AP,01310,6,EUROPE / EUROPE,61.57 ,5.02 ,NORWAY / NORVEGE,6010,15575,0,9,11
BERGEN/FLESLAND,01311,6,EUROPE / EUROPE,60.28 ,5.22 ,NORWAY / NORVEGE,6010,6936,0,50,48
EVANGER,01315,6,EUROPE / EUROPE,60.63 ,6.10 ,NORWAY / NORVEGE,6010,15353,0,,17
BERGEN/FLORIDA,01317,6,EUROPE / EUROPE,60.37 ,5.33 ,NORWAY / NORVEGE,6010,6937,0,35,12
SANDANE,01318,6,EUROPE / EUROPE,61.78 ,6.18 ,NORWAY / NORVEGE,6010,13497,0,,51
TAKLE,01319,6,EUROPE / EUROPE,61.02 ,5.37 ,NORWAY / NORVEGE,6010,6938,0,,38
SANDANE AP,01320,6,EUROPE / EUROPE,61.82 ,6.10 ,NORWAY / NORVEGE,6010,15576,0,60,59
STRYN,01321,6,EUROPE / EUROPE,61.90 ,6.55 ,NORWAY / NORVEGE,6010,10287,0,208,208
FORDE-TEFRE,01322,6,EUROPE / EUROPE,61.45 ,5.92 ,NORWAY / NORVEGE,6010,6940,0,,64
FORDE AP,01323,6,EUROPE / EUROPE,61.38 ,5.75 ,NORWAY / NORVEGE,6010,15577,0,321,318
MODALEN III,01326,6,EUROPE / EUROPE,60.85 ,5.97 ,NORWAY / NORVEGE,6010,14177,0,,125
KVAMSKOGEN-JONSHOGDI,01327,6,EUROPE / EUROPE,60.38 ,5.95 ,NORWAY / NORVEGE,6010,13651,0,,455
KVAMSOY,01329,6,EUROPE / EUROPE,60.35 ,6.27 ,NORWAY / NORVEGE,6010,13291,0,49,49
FJAERLAND-BREMUSEET,01332,6,EUROPE / EUROPE,61.42 ,6.75 ,NORWAY / NORVEGE,6010,13569,0,,3
VOSSEVANGEN,01337,6,EUROPE / EUROPE,60.62 ,6.42 ,NORWAY / NORVEGE,6010,13292,0,55,54
VANGSNES,01338,6,EUROPE / EUROPE,61.17 ,6.63 ,NORWAY / NORVEGE,6010,10288,0,54,49
FET I EIDFJORD,01340,6,EUROPE / EUROPE,60.40 ,7.27 ,NORWAY / NORVEGE,6010,13513,0,735,735
ULLENSVANG,01342,6,EUROPE / EUROPE,60.32 ,6.65 ,NORWAY / NORVEGE,6010,15578,0,12,
MJOLFJELL,01344,6,EUROPE / EUROPE,60.70 ,6.93 ,NORWAY / NORVEGE,6010,12033,0,,695
MIDTSTOVA,01346,6,EUROPE / EUROPE,60.65 ,7.27 ,NORWAY / NORVEGE,6010,15614,0,,1162
SOGNDAL AP,01347,6,EUROPE / EUROPE,61.15 ,7.13 ,NORWAY / NORVEGE,6010,15579,0,497,498
FINSEVATN,01350,6,EUROPE / EUROPE,60.58 ,7.52 ,NORWAY / NORVEGE,6010,10289,0,1209,1210
SANDHAUG,01352,6,EUROPE / EUROPE,60.18 ,7.47 ,NORWAY / NORVEGE,6010,14178,0,,1250
LAERDAL IV,01355,6,EUROPE / EUROPE,61.10 ,7.50 ,NORWAY / NORVEGE,6010,6951,0,4,2
HEMSEDAL II,01358,6,EUROPE / EUROPE,60.85 ,8.58 ,NORWAY / NORVEGE,6010,15580,0,604,
GEILO-OLDEBRATEN,01359,6,EUROPE / EUROPE,60.52 ,8.18 ,NORWAY / NORVEGE,6010,13648,0,773,772
BRATA-SLETTOM,01360,6,EUROPE / EUROPE,61.88 ,7.88 ,NORWAY / NORVEGE,6010,6953,0,,664
GROTLI III,01361,6,EUROPE / EUROPE,62.00 ,7.65 ,NORWAY / NORVEGE,6010,14179,0,871,872
JUVVASSHOE,01362,6,EUROPE / EUROPE,61.67 ,8.37 ,NORWAY / NORVEGE,6010,15581,0,1894,
FILEFJELL,01364,6,EUROPE / EUROPE,61.17 ,8.10 ,NORWAY / NORVEGE,6010,14672,0,955,956
BEITOSTOLEN II,01365,6,EUROPE / EUROPE,61.25 ,8.92 ,NORWAY / NORVEGE,6010,14641,0,,965
SOGNEFJELL,01366,6,EUROPE / EUROPE,61.55 ,7.98 ,NORWAY / NORVEGE,6010,6956,0,1413,1413
FAGERNES,01367,6,EUROPE / EUROPE,60.98 ,9.23 ,NORWAY / NORVEGE,6010,6957,0,365,365
FAGERNES AP,01368,6,EUROPE / EUROPE,61.00 ,9.28 ,NORWAY / NORVEGE,6010,15582,0,822,822
ABJORSBRATEN,01369,6,EUROPE / EUROPE,60.92 ,9.28 ,NORWAY / NORVEGE,6010,13293,0,,639
SKABU,01370,6,EUROPE / EUROPE,61.52 ,9.40 ,NORWAY / NORVEGE,6010,15467,0,,928
LOKEN I VOLBU,01371,6,EUROPE / EUROPE,61.12 ,9.05 ,NORWAY / NORVEGE,6010,15583,0,521,
NESBYEN-TODOKK,01373,6,EUROPE / EUROPE,60.57 ,9.13 ,NORWAY / NORVEGE,6010,14056,0,167,166
VEST-TORPA II,01374,6,EUROPE / EUROPE,60.93 ,10.03 ,NORWAY / NORVEGE,6010,6961,0,,542
KVITFJELL,01375,6,EUROPE / EUROPE,61.45 ,10.12 ,NORWAY / NORVEGE,6010,6962,0,,1030
GULSVIK II,01376,6,EUROPE / EUROPE,60.37 ,9.60 ,NORWAY / NORVEGE,6010,14225,0,,142
LILLEHAMMER-SAETHERENGEN,01378,6,EUROPE / EUROPE,61.08 ,10.47 ,NORWAY / NORVEGE,6010,6964,0,242,240
VENABU,01380,6,EUROPE / EUROPE,61.65 ,10.10 ,NORWAY / NORVEGE,6010,6966,0,,930
APELSVOLL,01381,6,EUROPE / EUROPE,60.70 ,10.87 ,NORWAY / NORVEGE,6010,15584,0,264,
KISE,01382,6,EUROPE / EUROPE,60.77 ,10.80 ,NORWAY / NORVEGE,6010,15585,0,128,
EVENSTAD-DIH,01383,6,EUROPE / EUROPE,61.42 ,11.07 ,NORWAY / NORVEGE,6010,14060,0,257,257
OSLO/GARDERMOEN,01384,6,EUROPE / EUROPE,60.20 ,11.07 ,NORWAY / NORVEGE,6010,6968,0,207,202
HAMAR,01385,6,EUROPE / EUROPE,60.82 ,11.07 ,NORWAY / NORVEGE,6010,13545,0,222,221
HAMAR II,01386,6,EUROPE / EUROPE,60.80 ,11.08 ,NORWAY / NORVEGE,6010,14138,0,,132
FAVANG,01387,6,EUROPE / EUROPE,61.45 ,10.18 ,NORWAY / NORVEGE,6010,15586,0,200,
RENA-HAUGEDALEN,01389,6,EUROPE / EUROPE,61.15 ,11.43 ,NORWAY / NORVEGE,6010,6970,0,238,240
FLISA II,01392,6,EUROPE / EUROPE,60.60 ,12.00 ,NORWAY / NORVEGE,6010,13294,0,184,185
DREVSJO,01393,6,EUROPE / EUROPE,61.88 ,12.03 ,NORWAY / NORVEGE,6010,6972,0,673,672
TRYSIL VEGSTASJON,01397,6,EUROPE / EUROPE,61.28 ,12.27 ,NORWAY / NORVEGE,6010,10290,0,361,360
EKOFISK,01400,6,EUROPE / EUROPE,56.50 ,3.20 ,NORWAY / NORVEGE,6010,6973,0,48,50
EKOFISK,01400,6,EUROPE / EUROPE,56.50 ,3.20 ,NORWAY / NORVEGE,6010,14771,1,,52
UTSIRA LH,01403,6,EUROPE / EUROPE,59.30 ,4.87 ,NORWAY / NORVEGE,6010,6974,0,56,55
SLATTEROY LH,01406,6,EUROPE / EUROPE,59.90 ,5.07 ,NORWAY / NORVEGE,6010,6975,0,16,25
HAUGESUND AP,01408,6,EUROPE / EUROPE,59.33 ,5.18 ,NORWAY / NORVEGE,6010,15587,0,24,26
KVITSOY - NORDBO,01411,6,EUROPE / EUROPE,59.07 ,5.40 ,NORWAY / NORVEGE,6010,13491,0,22,21
OBRESTAD,01412,6,EUROPE / EUROPE,58.65 ,5.55 ,NORWAY / NORVEGE,6010,10291,0,25,24
SAERHEIM,01413,6,EUROPE / EUROPE,58.75 ,5.65 ,NORWAY / NORVEGE,6010,15588,0,87,
ROVER,01414,6,EUROPE / EUROPE,59.43 ,5.07 ,NORWAY / NORVEGE,6010,15464,0,,25
STAVANGER/SOLA,01415,6,EUROPE / EUROPE,58.88 ,5.63 ,NORWAY / NORVEGE,6010,6977,0,8,7
STAVANGER/SOLA,01415,6,EUROPE / EUROPE,58.87 ,5.67 ,NORWAY / NORVEGE,6010,6978,1,,33
STAVANGER VAALAND,01416,6,EUROPE / EUROPE,58.95 ,5.72 ,NORWAY / NORVEGE,6010,14139,0,,72
NEDRE VATS,01417,6,EUROPE / EUROPE,59.48 ,5.75 ,NORWAY / NORVEGE,6010,6979,0,64,64
LIARVATN,01419,6,EUROPE / EUROPE,59.05 ,6.12 ,NORWAY / NORVEGE,6010,14616,0,,300
FISTER_SIGMUNDSTAD,01422,6,EUROPE / EUROPE,59.15 ,6.03 ,NORWAY / NORVEGE,6010,13816,0,,30
SAUDA,01424,6,EUROPE / EUROPE,59.63 ,6.35 ,NORWAY / NORVEGE,6010,6981,0,2,5
EIK HOVE,01425,6,EUROPE / EUROPE,58.50 ,6.50 ,NORWAY / NORVEGE,6010,6982,0,66,65
EIGEROYA,01426,6,EUROPE / EUROPE,58.43 ,5.87 ,NORWAY / NORVEGE,6010,14506,0,,49
LISTA LH,01427,6,EUROPE / EUROPE,58.10 ,6.57 ,NORWAY / NORVEGE,6010,6983,0,13,14
MANDAL III,01430,6,EUROPE / EUROPE,58.02 ,7.45 ,NORWAY / NORVEGE,6010,14421,0,,10
SIRDAL-SINNES,01431,6,EUROPE / EUROPE,58.92 ,6.90 ,NORWAY / NORVEGE,6010,13820,0,555,560
MIDTLAEGER,01433,6,EUROPE / EUROPE,59.83 ,6.98 ,NORWAY / NORVEGE,6010,6986,0,1081,1079
VAAGSLI,01434,6,EUROPE / EUROPE,59.75 ,7.35 ,NORWAY / NORVEGE,6010,10299,0,822,821
LINDESNES LH,01436,6,EUROPE / EUROPE,57.97 ,7.03 ,NORWAY / NORVEGE,6010,6988,0,,13
KONSMO-HOYLAND,01439,6,EUROPE / EUROPE,58.27 ,7.37 ,NORWAY / NORVEGE,6010,6989,0,,263
BLASJO,01440,6,EUROPE / EUROPE,59.33 ,6.87 ,NORWAY / NORVEGE,6010,15595,0,,1050
HOVDEN-LUNDANE,01441,6,EUROPE / EUROPE,59.58 ,7.40 ,NORWAY / NORVEGE,6010,10293,0,836,841
