StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
BARCALDINE POST OFFICE,94350,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.55 ,145.28 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6078,0,266,266
TAMBO POST OFFICE,94355,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.87 ,146.25 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6080,0,397,395
CHARTERS TOWERS AIRPORT,94356,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.03 ,146.27 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6081,0,291,291
MORANBAH  WATER TREATMENT PLANT,94358,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-21.98 ,148.02 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6082,0,235,260
CLERMONT SIRIUS ST,94359,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-22.82 ,147.63 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6083,0,268,260
COLLINSVILLE POST OFFICE,94360,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.55 ,147.83 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6084,0,196,196
EMERALD AIRPORT,94363,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.57 ,148.17 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6085,0,190,190
PROSERPINE AIRPORT,94365,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.48 ,148.55 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6087,0,20,21
BOWEN AIRPORT,94366,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.00 ,148.20 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6088,0,8,7
MACKAY M.O,94367,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-21.12 ,149.22 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6089,0,36,30
HAMILTON ISLAND AIRPORT,94368,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.35 ,148.95 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6090,0,59,4
ST LAWRENCE POST OFFICE,94369,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-22.33 ,149.53 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6091,0,18,17
SAMUEL HILL AERO,94370,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-22.73 ,150.65 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,12670,0,31,32
CREAL REEF,94371,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.52 ,150.37 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,14064,0,6,1
MIDDLE PERCY ISLAND,94372,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-21.65 ,150.27 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,12929,0,209,208
YEPPOON THE ESPLANADE,94373,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.13 ,150.75 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6093,0,5,5
ROCKHAMPTON AERO,94374,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.37 ,150.47 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6094,0,15,10
BARALABA POST OFFICE,94375,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.17 ,149.80 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6095,0,100,100
THANGOOL AIRPORT,94376,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.48 ,150.57 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6096,0,193,196
MONTO TOWNSHIP,94377,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.85 ,151.12 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,13538,0,250,239
RUNDLE ISLAND,94378,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.52 ,151.27 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6098,0,20,19
